"COND","CITY","YEAR","SLIM","SIGN","LGHT","BLTE","TFFC","EXPR","WGHT"
2,3,1,11,1,1,13,1,1300.35714285714,4.69090909090909
2,3,1,6,1,25,14,1,196.047619047619,1.90056860135855
2,8,1,8,1,21,56,4,398.095238095238,1.77007795371782
2,8,1,8,1,21,22,1,497.380952380952,1.72051358614512
2,10,1,9,1,12,42,1,458.035714285714,1.68143156964542
24,8,1,8,1,12,54,4,317.767857142857,1.60467083132146
2,8,1,9,1,29,68,2,765,1.58171019860783
23,9,1,6,1,11,29,1,6175,2.064
2,8,1,8,3,1,56,3,232.738095238095,2.05498809208785
2,8,1,4,1,21,16,1,523.214285714286,2.22550904081547
24,8,1,10,1,29,87,4,783.125,4.69090909090909
24,9,1,8,1,34,18,4,602.083333333333,1.665559970358
24,8,1,12,1,25,14,1,181.571428571429,1.90056860135855
2,10,1,6,4,8,16,3,719.464285714286,2.66711615388969
23,9,1,8,4,8,24,4,530.714285714286,2.45369749436078
23,9,1,7,1,29,54,3,965.416666666667,1.60467083132146
2,8,1,8,3,1,56,4,439.047619047619,2.05498809208785
9,8,1,14,1,21,95,1,655.238095238095,1.09090909090909
9,8,1,14,1,21,95,1,655.238095238095,1.09090909090909
23,10,1,11,1,33,61,1,351.75,1.1882958547819
2,9,1,14,1,8,41,4,576.785714285714,1.22888352597485
2,8,1,12,1,21,61,4,503.214285714286,1.1882958547819
2,8,1,8,1,12,54,4,267.053571428571,1.60467083132146
2,9,1,14,1,25,61,4,269.095238095238,1.1882958547819
2,8,1,4,1,9,14,1,297.357142857143,1.90056860135855
9,8,1,8,1,12,56,4,715.982142857143,1.77007795371782
3,8,1,8,1,25,58,2,195.714285714286,2.0151171579743
2,8,1,8,1,28,54,3,334.166666666667,1.60467083132146
2,8,1,8,1,1,103,4,451.547619047619,1
2,9,1,6,1,8,14,1,592.857142857143,1.90056860135855
2,8,1,12,1,34,79,4,293.333333333333,2.43971631205674
2,8,1,9,3,9,90,2,481.428571428571,1.28871128871129
2,8,1,12,1,33,41,1,326.833333333333,1.22888352597485
2,8,1,8,1,25,88,1,206.095238095238,1.70719602977667
2,8,1,8,4,12,30,4,642.678571428571,2.90431519699812
2,8,1,12,1,33,11,3,232.083333333333,1
23,9,1,9,1,25,56,4,302.761904761905,1.77007795371782
2,9,1,7,1,8,18,1,1835.17857142857,1.665559970358
23,9,1,8,1,10,24,2,3071.51785714286,2.05659625348744
2,8,1,8,3,5,56,4,173.095238095238,2.05498809208785
2,8,1,8,4,34,56,4,226.75,2.09017217123333
23,10,1,7,1,8,34,3,15905.7142857143,1.57022471910112
23,8,1,8,1,8,54,2,6428.92857142857,1.60467083132146
2,8,1,8,1,30,68,3,674.166666666667,1.58171019860783
2,8,1,8,4,23,54,4,111.380952380952,2.33772652388797
2,8,1,8,4,23,54,4,111.380952380952,2.33772652388797
2,10,1,11,1,20,79,1,366.309523809524,2.43971631205674
2,8,1,8,1,34,101,4,194.5,2.28094302554027
2,8,1,10,1,21,37,1,424.166666666667,1.64856230031949
2,6,1,6,1,10,14,1,412.946428571429,1.90056860135855
2,8,1,8,1,29,54,4,566.875,1.60467083132146
2,8,1,8,1,34,58,4,269.666666666667,2.0151171579743
2,8,1,8,1,21,90,1,658.452380952381,1.64856230031949
2,8,1,14,1,33,79,1,399.666666666667,2.43971631205674
2,8,1,14,1,33,79,1,399.666666666667,2.43971631205674
2,8,1,14,1,33,79,1,399.666666666667,2.43971631205674
2,8,1,9,1,21,56,1,506.190476190476,1.77007795371782
2,8,1,6,3,1,16,4,657.5,2.7520209677788
2,11,1,14,1,15,11,2,92.8571428571428,1
2,8,1,9,1,8,54,2,665.178571428571,1.60467083132146
2,8,1,8,3,8,20,3,769.642857142857,1.95315826827537
2,8,1,6,1,10,16,1,258.571428571429,2.22550904081547
2,8,1,8,1,25,54,3,189.714285714286,1.60467083132146
2,9,1,8,1,8,51,1,427.321428571429,2.57713651498335
2,10,1,6,4,29,56,2,1165,2.09017217123333
2,8,1,6,1,20,14,2,360.833333333333,1.90056860135855
23,8,1,14,1,34,79,4,234.833333333333,2.43971631205674
2,8,1,8,1,25,88,3,250.095238095238,1.70719602977667
2,8,1,6,1,8,70,4,786.964285714286,1.93126913916298
2,8,1,6,3,10,56,4,795.535714285714,2.05498809208785
2,9,1,6,1,8,14,1,839.642857142857,1.90056860135855
2,8,1,11,1,25,37,4,169.857142857143,1.64856230031949
2,8,1,8,1,26,68,2,202.904761904762,1.58171019860783
2,8,1,6,4,8,56,3,471.071428571429,2.09017217123333
2,8,1,8,1,1,54,4,406.904761904762,1.60467083132146
2,8,1,8,1,8,54,4,834.107142857143,1.60467083132146
2,8,1,14,1,28,79,4,975.625,2.43971631205674
2,11,1,14,1,14,61,4,40.8571428571429,1.1882958547819
9,9,1,12,1,1,21,4,827.142857142857,2.10326086956522
2,9,1,14,1,34,11,2,214.083333333333,1
2,8,1,6,3,1,36,4,271.904761904762,3.81163434903047
2,9,1,11,1,8,54,2,1869.46428571429,1.60467083132146
2,11,1,6,1,10,14,2,920.535714285714,1.90056860135855
2,8,1,6,1,34,14,1,457.833333333333,1.90056860135855
2,10,1,6,3,21,56,3,932.380952380952,2.05498809208785
2,8,1,6,1,8,14,1,976.428571428571,1.90056860135855
2,8,1,8,1,21,54,1,535.357142857143,1.60467083132146
2,11,1,4,1,8,16,1,983.392857142857,2.22550904081547
2,8,1,8,3,25,56,4,148.857142857143,2.05498809208785
2,8,1,11,1,1,68,4,675.47619047619,1.58171019860783
2,8,1,11,1,1,68,4,675.47619047619,1.58171019860783
2,8,1,11,1,9,68,4,439.285714285714,1.58171019860783
2,8,1,7,1,14,14,3,122.357142857143,1.90056860135855
2,8,1,8,1,33,70,1,306.083333333333,1.93126913916298
2,9,1,9,1,1,18,2,412.261904761905,1.665559970358
2,9,1,14,1,28,79,1,535.208333333333,2.43971631205674
2,10,1,8,3,10,56,2,371.25,2.05498809208785
23,11,1,10,1,1,14,2,4160.83333333333,1.90056860135855
2,8,1,8,3,14,86,4,86.7857142857143,4.69090909090909
2,9,1,14,1,28,41,1,1084.58333333333,1.22888352597485
2,8,1,8,3,24,40,1,175.714285714286,3.2099533437014
2,10,1,6,1,8,14,1,445.178571428571,1.90056860135855
2,9,1,8,2,25,20,2,122.333333333333,2.43971631205674
2,8,1,8,3,34,90,3,474.25,1.28871128871129
2,10,1,6,1,10,14,2,330.178571428571,1.90056860135855
2,8,1,14,1,34,107,1,448.583333333333,1
2,8,1,14,1,29,107,4,951.041666666667,1
2,8,1,8,1,29,40,3,946.041666666667,1.6412503755014
2,8,1,8,4,8,56,2,349.107142857143,2.09017217123333
2,9,1,4,1,10,14,1,356.160714285714,1.90056860135855
18,9,1,14,1,28,57,1,3683.125,4.69090909090909
9,8,1,8,1,8,54,4,334.285714285714,1.60467083132146
2,8,1,8,1,12,40,1,482.857142857143,1.6412503755014
2,8,1,8,1,21,90,4,385.357142857143,1.64856230031949
2,8,1,8,3,29,103,4,1097.29166666667,4.69090909090909
9,10,1,6,4,34,24,3,406.25,2.45369749436078
2,8,1,8,1,21,103,4,542.5,1
2,9,1,6,3,1,56,2,1396.42857142857,2.05498809208785
9,9,1,14,1,29,17,4,1225,1
23,8,1,8,1,8,68,4,1442.32142857143,1.58171019860783
2,8,1,14,4,8,31,4,923.035714285714,4.69090909090909
2,8,1,8,1,34,54,1,299,1.60467083132146
2,6,1,8,3,21,56,1,425.833333333333,2.05498809208785
2,9,1,14,1,28,79,1,1520.41666666667,2.43971631205674
2,8,1,8,1,21,68,2,594.404761904762,1.58171019860783
2,8,1,8,4,9,51,3,376.071428571429,1.8942731277533
2,8,1,8,4,9,51,3,376.071428571429,1.8942731277533
2,8,1,6,1,14,14,1,210.535714285714,1.90056860135855
2,8,1,12,1,34,52,3,292.75,4.69090909090909
23,9,1,14,1,25,61,2,196.952380952381,1.1882958547819
2,8,1,8,10,21,56,3,410.595238095238,1
2,8,1,8,10,21,56,3,410.595238095238,1
9,8,1,8,4,29,56,4,743.958333333333,2.09017217123333
9,8,1,8,1,31,54,4,914.166666666667,1.60467083132146
2,8,1,8,1,9,54,3,189.714285714286,1.60467083132146
2,8,1,8,1,9,54,3,189.714285714286,1.60467083132146
2,8,1,7,1,21,29,2,698.452380952381,2.064
2,6,1,8,1,21,68,1,433.928571428571,1.58171019860783
1,8,1,1,1,9,2,1,351.571428571429,3.22574075702923
2,8,1,8,5,21,56,1,345.952380952381,1.64856230031949
2,8,1,8,1,8,54,3,544.821428571429,1.60467083132146
2,9,1,9,3,1,54,2,610.595238095238,2.43971631205674
9,10,1,8,1,12,68,3,274.732142857143,1.58171019860783
23,11,1,10,1,14,58,3,216.75,2.0151171579743
9,8,1,8,1,15,70,3,131.178571428571,1.93126913916298
9,11,1,14,1,34,79,1,252.25,2.43971631205674
9,8,1,8,3,25,56,2,140.238095238095,2.05498809208785
9,8,1,8,1,12,56,3,182.053571428571,1.77007795371782
18,8,1,12,1,29,61,1,710.625,1.1882958547819
2,8,1,6,1,29,14,1,703.75,1.90056860135855
2,11,1,8,1,12,56,2,168.928571428571,1.77007795371782
2,8,1,6,6,13,16,3,451.25,2.54213214182114
9,8,1,8,1,34,88,4,349.833333333333,1.70719602977667
2,8,1,9,1,16,54,3,99.1785714285714,1.60467083132146
2,10,1,6,6,1,16,2,214.880952380952,2.54213214182114
2,10,1,6,3,8,16,2,911.964285714286,2.7520209677788
2,4,1,7,3,8,16,1,761.071428571429,2.7520209677788
2,4,1,7,1,25,16,2,86.3809523809524,2.22550904081547
2,4,1,12,1,34,79,1,242.5,2.43971631205674
2,4,1,6,1,14,14,1,177.571428571429,1.90056860135855
2,4,1,9,3,8,74,1,1808.57142857143,4.69090909090909
2,4,1,3,1,2,4,2,585.714285714286,1.45927601809955
2,4,1,9,1,34,22,4,393.75,1.72051358614512
2,4,1,8,1,16,41,1,99.25,1.22888352597485
2,1,1,6,12,29,14,2,859.791666666667,2.05399476328639
2,1,1,6,3,19,56,3,645.833333333333,1.48616222180148
2,1,1,6,1,8,26,3,3286.60714285714,1.38985963274113
9,1,1,7,1,21,54,2,279.404761904762,1.23543118192621
2,1,1,6,3,10,80,2,6952.23214285714,2.50355802820546
2,1,1,6,3,8,16,3,3117.67857142857,1.8194304289497
2,1,1,6,1,10,9,2,256.517857142857,1.40194474445532
2,1,1,7,1,21,54,3,422.142857142857,1.23543118192621
2,1,1,6,1,14,56,3,193.75,1.33120323032473
2,1,1,6,1,29,9,2,382.916666666667,1.40194474445532
2,1,1,9,1,29,22,2,909.375,1.30297399077179
9,1,1,11,1,34,41,4,363.75,1
4,6,1,7,1,12,69,3,122.142857142857,4.69090909090909
2,6,1,1,1,28,9,2,2260,1.89738327347357
12,6,1,7,1,8,14,1,506.25,1.90056860135855
9,6,1,7,6,12,20,3,156.607142857143,3.0840493089279
2,6,1,7,1,12,18,3,288.839285714286,1.665559970358
2,6,1,7,1,12,18,3,288.839285714286,1.665559970358
14,6,1,7,4,29,20,2,565.833333333333,2.24573150318045
2,6,1,7,4,10,27,2,2813.03571428571,2.38985098670962
2,6,1,7,4,1,20,1,1465.47619047619,2.24573150318045
2,6,1,7,1,10,56,1,250.714285714286,1.77007795371782
2,6,1,10,3,8,51,2,481.964285714286,4.69090909090909
2,6,1,7,1,8,56,1,575.178571428571,1.77007795371782
2,6,1,7,1,8,56,1,575.178571428571,1.77007795371782
2,6,1,7,1,25,16,2,151.904761904762,2.22550904081547
2,6,1,7,1,10,63,1,162.946428571429,1.24487334137515
2,6,1,7,3,8,16,2,1616.60714285714,2.7520209677788
9,6,1,7,1,21,16,2,186.547619047619,2.22550904081547
2,6,1,8,1,34,14,4,249.916666666667,1.90056860135855
2,6,1,6,17,32,14,2,428.583333333333,4.69090909090909
2,6,1,7,4,21,16,1,699.523809523809,2.66711615388969
2,6,1,7,1,10,18,3,110.892857142857,1.665559970358
2,6,1,7,1,24,18,1,358.952380952381,1.665559970358
18,6,1,7,4,10,16,2,250.982142857143,2.66711615388969
2,6,1,14,1,25,61,2,179.904761904762,1.1882958547819
2,6,1,6,1,5,16,1,198.47619047619,2.22550904081547
2,6,1,7,1,34,68,3,197.083333333333,1.58171019860783
2,6,1,6,1,1,53,3,392.142857142857,1.64856230031949
9,6,1,14,1,34,61,2,182.583333333333,1.1882958547819
18,6,1,7,1,21,54,2,178.095238095238,1.60467083132146
2,6,1,7,1,34,14,2,118.5,1.90056860135855
2,6,1,7,6,1,16,2,392.738095238095,2.54213214182114
2,6,1,7,1,1,53,2,237.738095238095,1.64856230031949
2,6,1,7,6,8,16,1,858.75,2.54213214182114
2,6,1,7,4,21,35,3,474.404761904762,1
23,2,1,8,1,3,14,1,306.785714285714,1.90056860135855
