Category: All categories

Week,chocolate: (Worldwide)
2013-04-14,53
2013-04-21,51
2013-04-28,51
2013-05-05,55
2013-05-12,51
2013-05-19,51
2013-05-26,50
2013-06-02,50
2013-06-09,52
2013-06-16,48
2013-06-23,51
2013-06-30,52
2013-07-07,50
2013-07-14,51
2013-07-21,56
2013-07-28,51
2013-08-04,55
2013-08-11,54
2013-08-18,52
2013-08-25,51
2013-09-01,51
2013-09-08,51
2013-09-15,52
2013-09-22,52
2013-09-29,52
2013-10-06,56
2013-10-13,57
2013-10-20,56
2013-10-27,56
2013-11-03,55
2013-11-10,58
2013-11-17,61
2013-11-24,67
2013-12-01,62
2013-12-08,76
2013-12-15,81
2013-12-22,80
2013-12-29,60
2014-01-05,51
2014-01-12,53
2014-01-19,57
2014-01-26,58
2014-02-02,64
2014-02-09,88
2014-02-16,58
2014-02-23,56
2014-03-02,57
2014-03-09,55
2014-03-16,55
2014-03-23,58
2014-03-30,59
2014-04-06,60
2014-04-13,70
2014-04-20,58
2014-04-27,55
2014-05-04,55
2014-05-11,53
2014-05-18,52
2014-05-25,53
2014-06-01,50
2014-06-08,51
2014-06-15,51
2014-06-22,49
2014-06-29,51
2014-07-06,54
2014-07-13,53
2014-07-20,54
2014-07-27,56
2014-08-03,53
2014-08-10,53
2014-08-17,54
2014-08-24,51
2014-08-31,51
2014-09-07,51
2014-09-14,53
2014-09-21,52
2014-09-28,54
2014-10-05,53
2014-10-12,55
2014-10-19,56
2014-10-26,56
2014-11-02,55
2014-11-09,58
2014-11-16,66
2014-11-23,67
2014-11-30,65
2014-12-07,71
2014-12-14,83
2014-12-21,88
2014-12-28,60
2015-01-04,53
2015-01-11,55
2015-01-18,56
2015-01-25,59
2015-02-01,63
2015-02-08,90
2015-02-15,62
2015-02-22,56
2015-03-01,55
2015-03-08,57
2015-03-15,57
2015-03-22,59
2015-03-29,72
2015-04-05,58
2015-04-12,51
2015-04-19,53
2015-04-26,56
2015-05-03,58
2015-05-10,56
2015-05-17,52
2015-05-24,54
2015-05-31,51
2015-06-07,54
2015-06-14,53
2015-06-21,53
2015-06-28,55
2015-07-05,54
2015-07-12,54
2015-07-19,53
2015-07-26,54
2015-08-02,52
2015-08-09,54
2015-08-16,54
2015-08-23,57
2015-08-30,53
2015-09-06,56
2015-09-13,52
2015-09-20,53
2015-09-27,56
2015-10-04,57
2015-10-11,57
2015-10-18,58
2015-10-25,60
2015-11-01,58
2015-11-08,58
2015-11-15,64
2015-11-22,72
2015-11-29,67
2015-12-06,72
2015-12-13,81
2015-12-20,98
2015-12-27,66
2016-01-03,56
2016-01-10,55
2016-01-17,61
2016-01-24,60
2016-01-31,63
2016-02-07,90
2016-02-14,67
2016-02-21,60
2016-02-28,58
2016-03-06,58
2016-03-13,63
2016-03-20,75
2016-03-27,60
2016-04-03,55
2016-04-10,54
2016-04-17,56
2016-04-24,58
2016-05-01,60
2016-05-08,54
2016-05-15,55
2016-05-22,58
2016-05-29,56
2016-06-05,56
2016-06-12,56
2016-06-19,52
2016-06-26,54
2016-07-03,54
2016-07-10,53
2016-07-17,53
2016-07-24,53
2016-07-31,52
2016-08-07,51
2016-08-14,52
2016-08-21,54
2016-08-28,57
2016-09-04,57
2016-09-11,55
2016-09-18,55
2016-09-25,56
2016-10-02,55
2016-10-09,57
2016-10-16,58
2016-10-23,59
2016-10-30,58
2016-11-06,57
2016-11-13,65
2016-11-20,68
2016-11-27,65
2016-12-04,71
2016-12-11,80
2016-12-18,100
2016-12-25,68
2017-01-01,54
2017-01-08,56
2017-01-15,57
2017-01-22,59
2017-01-29,60
2017-02-05,86
2017-02-12,75
2017-02-19,56
2017-02-26,59
2017-03-05,57
2017-03-12,59
2017-03-19,58
2017-03-26,61
2017-04-02,62
2017-04-09,75
2017-04-16,59
2017-04-23,55
2017-04-30,57
2017-05-07,55
2017-05-14,54
2017-05-21,52
2017-05-28,54
2017-06-04,54
2017-06-11,56
2017-06-18,51
2017-06-25,53
2017-07-02,56
2017-07-09,56
2017-07-16,55
2017-07-23,55
2017-07-30,56
2017-08-06,55
2017-08-13,55
2017-08-20,55
2017-08-27,52
2017-09-03,55
2017-09-10,54
2017-09-17,52
2017-09-24,54
2017-10-01,54
2017-10-08,58
2017-10-15,59
2017-10-22,58
2017-10-29,59
2017-11-05,60
2017-11-12,63
2017-11-19,65
2017-11-26,65
2017-12-03,73
2017-12-10,77
2017-12-17,92
2017-12-24,76
2017-12-31,62
2018-01-07,56
2018-01-14,58
2018-01-21,59
2018-01-28,60
2018-02-04,87
2018-02-11,76
2018-02-18,58
2018-02-25,57
2018-03-04,58
2018-03-11,58
2018-03-18,63
2018-03-25,73
2018-04-01,59
2018-04-08,55
