Category: All categories

Week,fireworks: (Worldwide)
2013-04-14,2
2013-04-21,2
2013-04-28,2
2013-05-05,2
2013-05-12,3
2013-05-19,4
2013-05-26,4
2013-06-02,3
2013-06-09,4
2013-06-16,6
2013-06-23,15
2013-06-30,95
2013-07-07,7
2013-07-14,4
2013-07-21,4
2013-07-28,3
2013-08-04,3
2013-08-11,3
2013-08-18,3
2013-08-25,3
2013-09-01,3
2013-09-08,2
2013-09-15,2
2013-09-22,2
2013-09-29,3
2013-10-06,3
2013-10-13,3
2013-10-20,4
2013-10-27,13
2013-11-03,13
2013-11-10,2
2013-11-17,2
2013-11-24,2
2013-12-01,2
2013-12-08,2
2013-12-15,3
2013-12-22,4
2013-12-29,22
2014-01-05,2
2014-01-12,2
2014-01-19,2
2014-01-26,3
2014-02-02,2
2014-02-09,2
2014-02-16,2
2014-02-23,2
2014-03-02,1
2014-03-09,2
2014-03-16,2
2014-03-23,2
2014-03-30,2
2014-04-06,2
2014-04-13,2
2014-04-20,2
2014-04-27,2
2014-05-04,2
2014-05-11,2
2014-05-18,4
2014-05-25,3
2014-06-01,3
2014-06-08,4
2014-06-15,5
2014-06-22,12
2014-06-29,87
2014-07-06,10
2014-07-13,4
2014-07-20,3
2014-07-27,3
2014-08-03,3
2014-08-10,3
2014-08-17,2
2014-08-24,3
2014-08-31,3
2014-09-07,2
2014-09-14,2
2014-09-21,2
2014-09-28,2
2014-10-05,3
2014-10-12,3
2014-10-19,5
2014-10-26,9
2014-11-02,17
2014-11-09,2
2014-11-16,2
2014-11-23,2
2014-11-30,2
2014-12-07,2
2014-12-14,3
2014-12-21,4
2014-12-28,20
2015-01-04,2
2015-01-11,2
2015-01-18,2
2015-01-25,2
2015-02-01,2
2015-02-08,2
2015-02-15,2
2015-02-22,1
2015-03-01,1
2015-03-08,1
2015-03-15,1
2015-03-22,1
2015-03-29,2
2015-04-05,1
2015-04-12,2
2015-04-19,2
2015-04-26,2
2015-05-03,2
2015-05-10,2
2015-05-17,4
2015-05-24,3
2015-05-31,3
2015-06-07,4
2015-06-14,5
2015-06-21,11
2015-06-28,74
2015-07-05,33
2015-07-12,4
2015-07-19,3
2015-07-26,3
2015-08-02,3
2015-08-09,3
2015-08-16,3
2015-08-23,2
2015-08-30,3
2015-09-06,3
2015-09-13,2
2015-09-20,2
2015-09-27,2
2015-10-04,2
2015-10-11,3
2015-10-18,3
2015-10-25,6
2015-11-01,20
2015-11-08,4
2015-11-15,2
2015-11-22,2
2015-11-29,2
2015-12-06,2
2015-12-13,2
2015-12-20,3
2015-12-27,23
2016-01-03,2
2016-01-10,1
2016-01-17,1
2016-01-24,2
2016-01-31,2
2016-02-07,2
2016-02-14,1
2016-02-21,1
2016-02-28,1
2016-03-06,1
2016-03-13,1
2016-03-20,1
2016-03-27,1
2016-04-03,1
2016-04-10,2
2016-04-17,2
2016-04-24,2
2016-05-01,2
2016-05-08,2
2016-05-15,2
2016-05-22,4
2016-05-29,4
2016-06-05,4
2016-06-12,5
2016-06-19,9
2016-06-26,40
2016-07-03,87
2016-07-10,4
2016-07-17,3
2016-07-24,3
2016-07-31,3
2016-08-07,3
2016-08-14,2
2016-08-21,2
2016-08-28,3
2016-09-04,3
2016-09-11,2
2016-09-18,2
2016-09-25,2
2016-10-02,2
2016-10-09,3
2016-10-16,4
2016-10-23,6
2016-10-30,22
2016-11-06,4
2016-11-13,2
2016-11-20,2
2016-11-27,2
2016-12-04,2
2016-12-11,2
2016-12-18,4
2016-12-25,17
2017-01-01,9
2017-01-08,2
2017-01-15,2
2017-01-22,3
2017-01-29,1
2017-02-05,1
2017-02-12,1
2017-02-19,1
2017-02-26,1
2017-03-05,1
2017-03-12,1
2017-03-19,1
2017-03-26,1
2017-04-02,1
2017-04-09,2
2017-04-16,2
2017-04-23,2
2017-04-30,2
2017-05-07,2
2017-05-14,2
2017-05-21,4
2017-05-28,4
2017-06-04,3
2017-06-11,5
2017-06-18,8
2017-06-25,33
2017-07-02,100
2017-07-09,4
2017-07-16,3
2017-07-23,3
2017-07-30,3
2017-08-06,3
2017-08-13,2
2017-08-20,2
2017-08-27,2
2017-09-03,3
2017-09-10,2
2017-09-17,2
2017-09-24,2
2017-10-01,3
2017-10-08,3
2017-10-15,4
2017-10-22,5
2017-10-29,18
2017-11-05,7
2017-11-12,2
2017-11-19,2
2017-11-26,2
2017-12-03,2
2017-12-10,2
2017-12-17,3
2017-12-24,8
2017-12-31,18
2018-01-07,2
2018-01-14,1
2018-01-21,2
2018-01-28,1
2018-02-04,1
2018-02-11,2
2018-02-18,1
2018-02-25,1
2018-03-04,1
2018-03-11,1
2018-03-18,1
2018-03-25,1
2018-04-01,1
2018-04-08,1
