Category: All categories

Week,last minute gift: (Worldwide)
2013-04-14,2
2013-04-21,2
2013-04-28,2
2013-05-05,7
2013-05-12,5
2013-05-19,3
2013-05-26,3
2013-06-02,3
2013-06-09,5
2013-06-16,4
2013-06-23,3
2013-06-30,3
2013-07-07,3
2013-07-14,1
2013-07-21,3
2013-07-28,2
2013-08-04,2
2013-08-11,2
2013-08-18,2
2013-08-25,3
2013-09-01,3
2013-09-08,2
2013-09-15,3
2013-09-22,1
2013-09-29,2
2013-10-06,3
2013-10-13,3
2013-10-20,2
2013-10-27,3
2013-11-03,3
2013-11-10,4
2013-11-17,3
2013-11-24,4
2013-12-01,5
2013-12-08,12
2013-12-15,34
2013-12-22,58
2013-12-29,4
2014-01-05,3
2014-01-12,1
2014-01-19,2
2014-01-26,2
2014-02-02,2
2014-02-09,12
2014-02-16,3
2014-02-23,2
2014-03-02,3
2014-03-09,3
2014-03-16,3
2014-03-23,4
2014-03-30,2
2014-04-06,3
2014-04-13,3
2014-04-20,3
2014-04-27,4
2014-05-04,8
2014-05-11,5
2014-05-18,2
2014-05-25,3
2014-06-01,3
2014-06-08,5
2014-06-15,4
2014-06-22,1
2014-06-29,3
2014-07-06,4
2014-07-13,3
2014-07-20,3
2014-07-27,3
2014-08-03,3
2014-08-10,4
2014-08-17,2
2014-08-24,2
2014-08-31,3
2014-09-07,2
2014-09-14,4
2014-09-21,3
2014-09-28,2
2014-10-05,2
2014-10-12,3
2014-10-19,3
2014-10-26,3
2014-11-02,4
2014-11-09,4
2014-11-16,3
2014-11-23,4
2014-11-30,4
2014-12-07,9
2014-12-14,24
2014-12-21,71
2014-12-28,3
2015-01-04,2
2015-01-11,2
2015-01-18,2
2015-01-25,3
2015-02-01,2
2015-02-08,9
2015-02-15,4
2015-02-22,2
2015-03-01,2
2015-03-08,1
2015-03-15,2
2015-03-22,2
2015-03-29,3
2015-04-05,2
2015-04-12,2
2015-04-19,3
2015-04-26,2
2015-05-03,9
2015-05-10,6
2015-05-17,2
2015-05-24,3
2015-05-31,3
2015-06-07,2
2015-06-14,5
2015-06-21,4
2015-06-28,3
2015-07-05,3
2015-07-12,3
2015-07-19,3
2015-07-26,4
2015-08-02,4
2015-08-09,5
2015-08-16,2
2015-08-23,2
2015-08-30,3
2015-09-06,3
2015-09-13,2
2015-09-20,3
2015-09-27,2
2015-10-04,3
2015-10-11,5
2015-10-18,4
2015-10-25,2
2015-11-01,4
2015-11-08,4
2015-11-15,4
2015-11-22,2
2015-11-29,6
2015-12-06,8
2015-12-13,25
2015-12-20,98
2015-12-27,6
2016-01-03,4
2016-01-10,6
2016-01-17,6
2016-01-24,6
2016-01-31,4
2016-02-07,11
2016-02-14,4
2016-02-21,2
2016-02-28,3
2016-03-06,3
2016-03-13,4
2016-03-20,4
2016-03-27,4
2016-04-03,3
2016-04-10,2
2016-04-17,3
2016-04-24,3
2016-05-01,24
2016-05-08,14
2016-05-15,4
2016-05-22,4
2016-05-29,3
2016-06-05,5
2016-06-12,8
2016-06-19,8
2016-06-26,2
2016-07-03,3
2016-07-10,2
2016-07-17,2
2016-07-24,3
2016-07-31,3
2016-08-07,2
2016-08-14,2
2016-08-21,4
2016-08-28,4
2016-09-04,4
2016-09-11,4
2016-09-18,3
2016-09-25,2
2016-10-02,2
2016-10-09,3
2016-10-16,3
2016-10-23,4
2016-10-30,3
2016-11-06,4
2016-11-13,4
2016-11-20,4
2016-11-27,3
2016-12-04,5
2016-12-11,16
2016-12-18,58
2016-12-25,10
2017-01-01,3
2017-01-08,2
2017-01-15,2
2017-01-22,4
2017-01-29,2
2017-02-05,4
2017-02-12,12
2017-02-19,3
2017-02-26,5
2017-03-05,3
2017-03-12,3
2017-03-19,3
2017-03-26,3
2017-04-02,3
2017-04-09,3
2017-04-16,2
2017-04-23,3
2017-04-30,5
2017-05-07,26
2017-05-14,16
2017-05-21,5
2017-05-28,4
2017-06-04,3
2017-06-11,8
2017-06-18,4
2017-06-25,4
2017-07-02,3
2017-07-09,3
2017-07-16,3
2017-07-23,3
2017-07-30,3
2017-08-06,4
2017-08-13,2
2017-08-20,4
2017-08-27,5
2017-09-03,3
2017-09-10,2
2017-09-17,4
2017-09-24,3
2017-10-01,3
2017-10-08,2
2017-10-15,3
2017-10-22,3
2017-10-29,4
2017-11-05,4
2017-11-12,3
2017-11-19,3
2017-11-26,4
2017-12-03,9
2017-12-10,15
2017-12-17,100
2017-12-24,32
2017-12-31,4
2018-01-07,3
2018-01-14,2
2018-01-21,2
2018-01-28,2
2018-02-04,5
2018-02-11,10
2018-02-18,2
2018-02-25,1
2018-03-04,4
2018-03-11,3
2018-03-18,4
2018-03-25,2
2018-04-01,3
2018-04-08,3
