Category: All categories

Week,pumpkin spice: (Worldwide)
2013-04-14,2
2013-04-21,2
2013-04-28,2
2013-05-05,2
2013-05-12,2
2013-05-19,2
2013-05-26,2
2013-06-02,2
2013-06-09,2
2013-06-16,2
2013-06-23,2
2013-06-30,2
2013-07-07,2
2013-07-14,2
2013-07-21,4
2013-07-28,4
2013-08-04,6
2013-08-11,9
2013-08-18,13
2013-08-25,32
2013-09-01,51
2013-09-08,53
2013-09-15,59
2013-09-22,63
2013-09-29,65
2013-10-06,74
2013-10-13,65
2013-10-20,60
2013-10-27,55
2013-11-03,37
2013-11-10,33
2013-11-17,34
2013-11-24,59
2013-12-01,15
2013-12-08,14
2013-12-15,12
2013-12-22,14
2013-12-29,7
2014-01-05,7
2014-01-12,5
2014-01-19,6
2014-01-26,5
2014-02-02,4
2014-02-09,3
2014-02-16,3
2014-02-23,4
2014-03-02,3
2014-03-09,3
2014-03-16,3
2014-03-23,4
2014-03-30,3
2014-04-06,2
2014-04-13,3
2014-04-20,2
2014-04-27,2
2014-05-04,2
2014-05-11,3
2014-05-18,3
2014-05-25,2
2014-06-01,2
2014-06-08,2
2014-06-15,2
2014-06-22,2
2014-06-29,2
2014-07-06,2
2014-07-13,2
2014-07-20,3
2014-07-27,4
2014-08-03,6
2014-08-10,11
2014-08-17,27
2014-08-24,65
2014-08-31,49
2014-09-07,70
2014-09-14,70
2014-09-21,84
2014-09-28,83
2014-10-05,90
2014-10-12,77
2014-10-19,66
2014-10-26,70
2014-11-02,42
2014-11-09,37
2014-11-16,35
2014-11-23,58
2014-11-30,17
2014-12-07,14
2014-12-14,13
2014-12-21,16
2014-12-28,8
2015-01-04,7
2015-01-11,7
2015-01-18,6
2015-01-25,5
2015-02-01,6
2015-02-08,4
2015-02-15,5
2015-02-22,4
2015-03-01,4
2015-03-08,4
2015-03-15,3
2015-03-22,3
2015-03-29,4
2015-04-05,3
2015-04-12,3
2015-04-19,3
2015-04-26,3
2015-05-03,3
2015-05-10,3
2015-05-17,3
2015-05-24,3
2015-05-31,3
2015-06-07,3
2015-06-14,3
2015-06-21,2
2015-06-28,3
2015-07-05,3
2015-07-12,3
2015-07-19,3
2015-07-26,4
2015-08-02,9
2015-08-09,12
2015-08-16,27
2015-08-23,39
2015-08-30,72
2015-09-06,85
2015-09-13,80
2015-09-20,81
2015-09-27,81
2015-10-04,80
2015-10-11,70
2015-10-18,75
2015-10-25,68
2015-11-01,42
2015-11-08,35
2015-11-15,34
2015-11-22,57
2015-11-29,15
2015-12-06,14
2015-12-13,13
2015-12-20,16
2015-12-27,9
2016-01-03,6
2016-01-10,6
2016-01-17,6
2016-01-24,5
2016-01-31,5
2016-02-07,4
2016-02-14,4
2016-02-21,4
2016-02-28,4
2016-03-06,3
2016-03-13,3
2016-03-20,4
2016-03-27,4
2016-04-03,3
2016-04-10,3
2016-04-17,3
2016-04-24,3
2016-05-01,3
2016-05-08,3
2016-05-15,3
2016-05-22,3
2016-05-29,3
2016-06-05,3
2016-06-12,3
2016-06-19,3
2016-06-26,3
2016-07-03,4
2016-07-10,4
2016-07-17,4
2016-07-24,5
2016-07-31,9
2016-08-07,11
2016-08-14,18
2016-08-21,33
2016-08-28,89
2016-09-04,87
2016-09-11,81
2016-09-18,89
2016-09-25,88
2016-10-02,90
2016-10-09,78
2016-10-16,70
2016-10-23,71
2016-10-30,49
2016-11-06,35
2016-11-13,38
2016-11-20,57
2016-11-27,18
2016-12-04,16
2016-12-11,14
2016-12-18,16
2016-12-25,9
2017-01-01,8
2017-01-08,7
2017-01-15,7
2017-01-22,6
2017-01-29,7
2017-02-05,5
2017-02-12,4
2017-02-19,5
2017-02-26,4
2017-03-05,4
2017-03-12,4
2017-03-19,4
2017-03-26,4
2017-04-02,4
2017-04-09,4
2017-04-16,4
2017-04-23,4
2017-04-30,4
2017-05-07,4
2017-05-14,3
2017-05-21,3
2017-05-28,3
2017-06-04,3
2017-06-11,4
2017-06-18,3
2017-06-25,4
2017-07-02,3
2017-07-09,4
2017-07-16,5
2017-07-23,6
2017-07-30,10
2017-08-06,14
2017-08-13,21
2017-08-20,29
2017-08-27,84
2017-09-03,100
2017-09-10,78
2017-09-17,86
2017-09-24,78
2017-10-01,88
2017-10-08,77
2017-10-15,73
2017-10-22,66
2017-10-29,53
2017-11-05,39
2017-11-12,37
2017-11-19,58
2017-11-26,18
2017-12-03,16
2017-12-10,12
2017-12-17,14
2017-12-24,11
2017-12-31,8
2018-01-07,7
2018-01-14,6
2018-01-21,6
2018-01-28,5
2018-02-04,5
2018-02-11,4
2018-02-18,4
2018-02-25,5
2018-03-04,5
2018-03-11,4
2018-03-18,4
2018-03-25,3
2018-04-01,4
2018-04-08,4
