Category: All categories

Week,turkey: (Worldwide)
2013-04-14,10
2013-04-21,10
2013-04-28,11
2013-05-05,10
2013-05-12,10
2013-05-19,9
2013-05-26,11
2013-06-02,14
2013-06-09,11
2013-06-16,10
2013-06-23,9
2013-06-30,10
2013-07-07,9
2013-07-14,9
2013-07-21,9
2013-07-28,9
2013-08-04,9
2013-08-11,9
2013-08-18,9
2013-08-25,9
2013-09-01,9
2013-09-08,9
2013-09-15,9
2013-09-22,9
2013-09-29,9
2013-10-06,12
2013-10-13,13
2013-10-20,10
2013-10-27,12
2013-11-03,15
2013-11-10,18
2013-11-17,29
2013-11-24,87
2013-12-01,17
2013-12-08,11
2013-12-15,13
2013-12-22,34
2013-12-29,12
2014-01-05,10
2014-01-12,10
2014-01-19,10
2014-01-26,9
2014-02-02,9
2014-02-09,9
2014-02-16,9
2014-02-23,9
2014-03-02,10
2014-03-09,9
2014-03-16,10
2014-03-23,10
2014-03-30,11
2014-04-06,10
2014-04-13,11
2014-04-20,12
2014-04-27,11
2014-05-04,10
2014-05-11,12
2014-05-18,10
2014-05-25,12
2014-06-01,10
2014-06-08,9
2014-06-15,9
2014-06-22,9
2014-06-29,9
2014-07-06,9
2014-07-13,10
2014-07-20,10
2014-07-27,9
2014-08-03,10
2014-08-10,9
2014-08-17,9
2014-08-24,9
2014-08-31,9
2014-09-07,9
2014-09-14,9
2014-09-21,9
2014-09-28,10
2014-10-05,13
2014-10-12,14
2014-10-19,10
2014-10-26,11
2014-11-02,14
2014-11-09,19
2014-11-16,29
2014-11-23,85
2014-11-30,18
2014-12-07,11
2014-12-14,12
2014-12-21,33
2014-12-28,13
2015-01-04,10
2015-01-11,9
2015-01-18,9
2015-01-25,9
2015-02-01,9
2015-02-08,9
2015-02-15,9
2015-02-22,9
2015-03-01,9
2015-03-08,9
2015-03-15,9
2015-03-22,10
2015-03-29,12
2015-04-05,11
2015-04-12,10
2015-04-19,11
2015-04-26,10
2015-05-03,10
2015-05-10,10
2015-05-17,10
2015-05-24,9
2015-05-31,9
2015-06-07,12
2015-06-14,10
2015-06-21,10
2015-06-28,10
2015-07-05,10
2015-07-12,9
2015-07-19,12
2015-07-26,10
2015-08-02,10
2015-08-09,10
2015-08-16,9
2015-08-23,9
2015-08-30,10
2015-09-06,10
2015-09-13,9
2015-09-20,9
2015-09-27,10
2015-10-04,13
2015-10-11,15
2015-10-18,10
2015-10-25,11
2015-11-01,15
2015-11-08,19
2015-11-15,32
2015-11-22,100
2015-11-29,20
2015-12-06,12
2015-12-13,13
2015-12-20,34
2015-12-27,14
2016-01-03,11
2016-01-10,10
2016-01-17,10
2016-01-24,9
2016-01-31,9
2016-02-07,9
2016-02-14,10
2016-02-21,9
2016-02-28,9
2016-03-06,9
2016-03-13,11
2016-03-20,12
2016-03-27,11
2016-04-03,10
2016-04-10,11
2016-04-17,10
2016-04-24,10
2016-05-01,11
2016-05-08,10
2016-05-15,10
2016-05-22,11
2016-05-29,9
2016-06-05,10
2016-06-12,13
2016-06-19,11
2016-06-26,18
2016-07-03,9
2016-07-10,36
2016-07-17,20
2016-07-24,11
2016-07-31,9
2016-08-07,9
2016-08-14,9
2016-08-21,10
2016-08-28,9
2016-09-04,9
2016-09-11,9
2016-09-18,9
2016-09-25,9
2016-10-02,12
2016-10-09,14
2016-10-16,10
2016-10-23,10
2016-10-30,14
2016-11-06,17
2016-11-13,31
2016-11-20,92
2016-11-27,17
2016-12-04,11
2016-12-11,12
2016-12-18,27
2016-12-25,24
2017-01-01,12
2017-01-08,10
2017-01-15,9
2017-01-22,9
2017-01-29,9
2017-02-05,9
2017-02-12,8
2017-02-19,9
2017-02-26,9
2017-03-05,10
2017-03-12,11
2017-03-19,10
2017-03-26,10
2017-04-02,10
2017-04-09,12
2017-04-16,13
2017-04-23,10
2017-04-30,10
2017-05-07,9
2017-05-14,9
2017-05-21,9
2017-05-28,8
2017-06-04,9
2017-06-11,9
2017-06-18,9
2017-06-25,9
2017-07-02,9
2017-07-09,9
2017-07-16,11
2017-07-23,9
2017-07-30,9
2017-08-06,9
2017-08-13,9
2017-08-20,9
2017-08-27,9
2017-09-03,10
2017-09-10,9
2017-09-17,10
2017-09-24,10
2017-10-01,12
2017-10-08,15
2017-10-15,10
2017-10-22,11
2017-10-29,14
2017-11-05,19
2017-11-12,32
2017-11-19,96
2017-11-26,17
2017-12-03,12
2017-12-10,12
2017-12-17,19
2017-12-24,32
2017-12-31,11
2018-01-07,10
2018-01-14,11
2018-01-21,10
2018-01-28,10
2018-02-04,10
2018-02-11,10
2018-02-18,10
2018-02-25,9
2018-03-04,10
2018-03-11,10
2018-03-18,10
2018-03-25,12
2018-04-01,12
2018-04-08,11
