param1,param2,num,Description,obs_type,value,Id,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
regular,discrim,B002TMV34E,Melitta Cafe de Europa Gourmet Coffee,median_pt,-9.79306,13194,A1J75JJ0Q2OEJN,Raven A. Wind,0,0,3,1277337600,It's pretty good.,"There's not much to review here. It's good coffee. It has a slight after-taste of flowers or sweetness, but it's otherwise an interesting medium blend of coffee. The package is a little hard to open (requires scissors), but the coffee itself tastes pretty decent.<br /><br />I'd recommend it to anyone who likes a medium roast. `Well worth the money."
regular,discrim,B002TMV34E,Melitta Cafe de Europa Gourmet Coffee,median_pt,-9.79306,13118,A37D5847LN3WQ,Wildcat Fan,1,1,3,1282176000,Decent but wouldn't buy again except for a special occasion,"Before I start, I will openly admit that I love a good cup of coffee and over the years have become a bit of a coffee snob with my tastes.  I don't like any flavored coffees, iced coffees, or even much of the frilly expressos and cappaccinos.  I simply like a great cup of coffee.<br /><br />I liked the Melitta coffee okay but I'm truthfully not convinced it is worth its price.  Don't get me wrong, I consumed the whole bag; I am just unsure it is something I will purchase again.  It had the nice, strong taste of shade-grown coffee beans which I liked but I wouldn't say I loved.  I'm not sure it is any better than some of the specialties you can purchase in your local grocery (I'm not talking Folgers and Maxwell House here, but the other shade-grown coffees).<br /><br />If this product comes up in a good sale, I might be tempted to purchase it for a special occasion but otherwise, I probably won't be buying again."
regular,discrim,B002TMV34E,Melitta Cafe de Europa Gourmet Coffee,median_pt,-9.79306,13162,ASJ0MKRFZC47B,Mermaid,0,0,5,1278806400,Robust Yet Mild,"If you're a coffee lover like me, then I suggest you try Melitta coffee.  This particular coffee is ground finely enough to be used in an espresso machine, but works just as well in a drip coffee maker.  I really like this coffee because I love the taste of strong, rich, and aromatic coffee, but I do not like when it is so strong and dark that it tastes bitter.  Melitta Cafe Collection Classique fits the bill perfectly.<br /><br />My husband, who is also a coffee drinker, but doesn't quite appreciate it the way I do, only drinks coffee from a drip machine and has to make it very light and very sweet.  He is notorious for using the flavored coffee creamers.  When he he drank this coffee, prepared the same way he prepares his regular Folgers brand coffee, he didn't notice a difference and had no idea that I had let him try a new type of coffee.  So with that being said, if you're a regular supermarket brand coffee drinker who has to mask the flavor of coffee with sugar or flavored creamers, then I recommend not spending the extra money on this coffee as you probably won't notice a difference.  On the other hand, if you are like me, and truly appreciate coffee (I don't use sugar and use minimal creamer) then do yourself a favor and try it!"
regular,discrim,B002TMV34E,Melitta Cafe de Europa Gourmet Coffee,median_pt,-9.79306,13143,ALRCAGJOJ9583,Gabriel's Buddy,0,0,4,1279756800,Excellent coffee for the price,"I'm a casual coffee drinker who is more likely to like McDonalds or Duncan Donuts coffee than Starbucks, which I find too burnt. I also like sugar and milk so I'm not obsessing over subtleties of flavor. This coffee was noticably better than supermarket brands and, in my opinion, milder and superior to the fancy brands as well. It is a good quality coffee at a good price and, as a result, a good value. I'd recommend this and would consider this as an every-day brand."
regular,discrim,B002TMV34E,Melitta Cafe de Europa Gourmet Coffee,median_pt,-9.79306,13190,AVU1ILDDYW301,G. Hearn,0,0,5,1277510400,Rich. . . Smooth. . . Delicious!,"Delicious!  Because of the fine grind, I thought the coffee might be a little bitter, but it's not.  It's delicious and smooth.  My favorite coffee is Caribou, but this is not far behind.  I followed the instructions exactly, using two teaspoons per 6oz of water.  I have a coffee maker where you put the beans in one side, and the water in the other, and press a button. . .  so measuring ground coffee is not my thing, but this worked great.  I didn't have a problem using it in my non-Melitta coffee maker at all.  Very enjoyable.  .. rich flavor. . . smooth. . . What's not to like? ;-)"
regular,discrim,B002TMV34E,Melitta Cafe de Europa Gourmet Coffee,median_pt,-9.79306,13121,A7EU2BWLLCJY2,"Claire Jordan ""Filmmaker -""",1,1,5,1278633600,Great for cold brew coffee!,"Cold brew coffee is a tradition here in New Orleans and we are always looking for good coffee to use.  This Melitta Classique Supreme Ground produced a rich, delicious cold brew that we really enjoyed.  We will definitely order some more.<br /><br />If you've never tried cold brew coffee you really should.  This is the brewing system we use.  We've had it for over 20 years!  <a href=""http://www.amazon.com/gp/product/B0006H0JVW"">Toddy Cold Brew System</a>.  You have to let it sit all night and then you have to deal with a pound of wet grounds (we use them for fertilizer,) but when you're done you have a carafe of cold coffee that lasts (us anyway) about a week.  It's cold and refreshing and not the least bit bitter.<br /><br />Very nice an a hot summer morning."
regular,discrim,B002TMV34E,Melitta Cafe de Europa Gourmet Coffee,median_pt,-9.79306,13120,A34UVV757IKPVB,justsomeguy,1,1,5,1278979200,EXCELLENT coffee! - Keurig coffee maker.,"I use the Keurig Coffee maker at home.  It's great, I love it.  Read my review on it here within this site.  For those of you who don't know - the Keurig ""K-cup"" coffee maker uses these little cup-packets of coffee grounds to make individual servings of coffee.<br />~<br />I recently bought the part for my coffee maker that allows you to brew your own ground coffee, such as this. I've used it several times, but the coffee always comes out watery or bitter.  I was hesitant to try this brand but let me tell you - it's AWESOME.<br />~<br />This coffee is now my new favorite one to make at home. I've had it several times now and it's always consistently awesome.  A nice bold flavor without being bitter or watery.  It's the ultimate coffee - a nice solid smooth coffee flavor without any harshness or tart aftertaste.  I highly recommend this one for any Keurig Coffee Maker users out there!!!!"
regular,discrim,B002TMV34E,Melitta Cafe de Europa Gourmet Coffee,median_pt,-9.79306,13117,A6B92PTV0Z1SU,"P. Kingsriter ""R.N. Guy""",2,2,5,1277337600,Bold + Smooth - Acid = A Winner,"I am honestly, pleasantly surprised by Melitta's Classique Supreme blend.  I was expecting a grocery-store quality coffee, but it far surpasses anything I've purchased at my local supermarket and, interestingly enough, I like it better than most beans I've purchased at specialty coffee shops.  Here's why:<br /><br />It's got a bold flavor akin to Kenyan beans but has a rich, full, smooth (almost chocolatey) texture like Sumatra.  As if combining the best bits of my favorite coffee regions wasn't enough, it's a very low acidity coffee, almost completely lacking that bitter / burnt aftertaste that plagues so many dark blends.  It's not a ""bright"" coffee like those grown in Latin America.  I believe this blend of coffee would be absolutely PERFECT FOR DESSERT SERVICE, but shouldn't necessarily be limited there.<br /><br />I've brewed a few pots at work to rave reviews.  Even the barely-colored-water-that-she-calls-coffee gal shrugged and said it was good.  I'm not inclined to drink my coffee black, but this blend is smooth enough to be palatable, even for me.  In fact, I surprised myself by enjoying my first 10oz cup with no creams or sweetener.  Pretty remarkable stuff.<br /><br />At its current price point, it'll end up being a bit more expensive but of far better overall quality than your average grocery store, but may be comparable (or even cheaper) than your local coffee shop.  If you like a smooth, flavorful coffee, Melitta's Classique Supreme blend is a safe bet for a very enjoyable cup o' joe."
regular,discrim,B002TMV34E,Melitta Cafe de Europa Gourmet Coffee,median_pt,-9.79306,13113,A3VYKXHQDICC6,philo_vance,0,2,4,1277942400,Good.,"Moderately flavorful with no trace of bitterness. Low acidity, nice aroma. I had to use significantly more per pot than the package specifies, but that is usually the case with my Cuisinart drip coffee maker."
regular,discrim,B002TMV34E,Melitta Cafe de Europa Gourmet Coffee,median_pt,-9.79306,13112,AC4XV78EJG1QB,Anne,0,1,2,1278633600,"Okay, but not my cup of coffee","Background:  I am a big fan of Trader Joe's coffee.  We have a Bunn Coffee Maker with the slow sprayhead and a Capresso Burr Grinder.  So, I guess you could say that my husband and I really like our coffee.  I usually use a combo of The Joe's coffee at TJ's and the decaf Columbian.  I do make it strong--I just realized how strong when I googled it a moment ago.<br /><br />This Coffee:  I used 1 Tbsp per 5-7 oz. cup.  I couldn't find the directions on the package as some people did--it must have been in small print.  It was like mud.  Way too strong.  Even so, I didn't like the flavor of the coffee.  It reminded me a lot of store bought Maxwell House or Diner coffee.  It had a bit of a burnt aftertaste to it for me.<br /><br />So, for me, I'm going to stick with Trader Joe's coffee."
