param1,param2,num,Description,obs_type,value,Id,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
regular,discrim,B001SJR4XS,"Kicking Horse Coffee 454 Horse Power Dark, Whole Bean",median_pt,7.87259,35222,A3PS7RPE1Q6NAR,Cece,0,1,4,1341792000,Worth the money. Refreshing change.,"This was a tad  bit spendy, but worth it for the change of pace. My only quibble is that it took an extra day or two to arrive. I think it's a Canadian product??? Anyway, fun name, smooth rich cup, nice finish."
regular,discrim,B001SJR4XS,"Kicking Horse Coffee 454 Horse Power Dark, Whole Bean",median_pt,7.87259,35214,A54OVZ0FZOTM1,NickisratingstuffonAmazon,0,0,5,1328054400,The dark roast I have been searching for,"This is my new dark roast. It has the bold flavor I have been looking for, without any burnt flavor or bitter aftertaste. As dark and strong as it is, it is amazingly smooth. Hats off to Kicking Horse crew for the quality of this roast.<br />I make this in a standard drip coffee pot in the morning as well as French press when I'm not fumbling around in the morning like a fool. Using a French press definitely wins out in the war of full flavored, but it very much impresses with standard drip.<br />I shared some with co-workers the other day, and I think they understand why I am slowly becoming an idiot coffee snob."
regular,discrim,B001SJR4XS,"Kicking Horse Coffee 454 Horse Power Dark, Whole Bean",median_pt,7.87259,35208,A2393L0C6LRVVP,Lisa Liquori,0,0,5,1339200000,power coffee,Kick ass and horse power dark. The best coffee ever.  for people who like a really strong cup of coffee. This is my favorate coffee...and the only coffee that i will drink. yummy///
regular,discrim,B001SJR4XS,"Kicking Horse Coffee 454 Horse Power Dark, Whole Bean",median_pt,7.87259,35224,A2BARFPH0SFE6P,luvsfashion,0,3,4,1316217600,Dosen't always taste or grind the same.,It's really good when ground right but I just make this ocassionally and most often use nes cafe dolce gusto.
regular,discrim,B001SJR4XS,"Kicking Horse Coffee 454 Horse Power Dark, Whole Bean",median_pt,7.87259,35198,A2YMS9UK1A9OF2,Jeff,1,1,5,1344384000,A stout cup of coffee! Oh Yeah!,"I like the Kicking Horse brand of coffees and Three Sisters is my usual all-day choice. There comes a time when one needs a bit more power to start the day and 454 Horse Power totally punches the starter! The full body & flavor with low acidity is true. There is no ""burnt sox"" smell to these beans. Its a dark and rich blend with excellent flavor. I have tried several cans of the Kick Ass Dark with no complaints but no real bonding either. The 454 Horse Power Dark is perfect for when a richer, darker, brew with ""wake-up!!"" powers is needed! The beans are nicely dark-roasted & fresh. My 454HP is med coarse ground as needed and done in a french press - yes, I want all the oils & flavors possible! It should provide serious espresso too. Normally, I don't use added condiments to my coffee, but 454HP will be fine for those wanting sugar or cream. I've placed 454HP into subscription!"
regular,discrim,B001SJR4XS,"Kicking Horse Coffee 454 Horse Power Dark, Whole Bean",median_pt,7.87259,35200,AIO25EH09HWTV,"R. Davis ""Rglazapple""",3,4,5,1298160000,LOVE IT!!!,I really love the darkness of this coffee. It is well balanced but still packs a good punch. I'm hoping Amazon starts selling it in the 2.2lb bags soon since I already have a ton of the empty canisters and would like to refill and reuse them.
regular,discrim,B001SJR4XS,"Kicking Horse Coffee 454 Horse Power Dark, Whole Bean",median_pt,7.87259,35187,A3NYHMWROCAK77,Older_Than_Dirt,14,15,5,1279929600,Now THIS is some serious coffee !!,"Very impressed coffee junkie here. What coffee should be, but seldom is. Beautiful, dark oily beans with a grand aroma. Roasted perfectly. NO burned beans - (unlike the leading brand :O). The sealed can kept them very fresh. Brews a great cup with a buzz-producing caffeine content. Best coffee I have had in years. Will be buying again."
regular,discrim,B00112EUPM,Amazing Grass Green Superfood Organic Powder,median_pt,7.864585,139506,A14HOS00JRF6YQ,S. M Mix,0,0,5,1338595200,"Finally something that tastes great, mixes easily and is good for you.","First of all I need to state that I have been drinking all kinds of nasty-tasting green drinks for over 10 years for the health benefits. I don't eat any sugar of any kind, and I focus a lot on how anything I consume is going to make me feel. Having said this, I think this product is the best-tasting supplement I have ever had. It reminds me a little of chocolate milk, but with a lot less sugar and garbage in it.<br /><br />I poured it into my water bottle after working out. I did not even shake it much and it mixed right in without being gritty or lumpy. I drank it about 45 minutes ago, and I feel good. I didn't get a ""rush"" of energy, but I feel more of a calm energy that comes from feeling healthy and well-nourished. I am looking for a product to replace the caffeine in the organic coffee I drink. I hope this is it. Time will tell. I also chose this product because of the health benefits of maca. Time will tell on that, too.<br /><br />Another thing I like I about this product is it comes in little individual serving packets. This would be great for camping. It seems to be easily digested and absorbed, which is another major advantage.<br /><br />Overall I highly recommend this product so far. I bought this company's chai vanilla meal replacement, also. It doesn't have any sugar. Unfortunately the chocolate flavor does have sugar, so I didn't buy that one. I will review that one after I try it. I'm just really thankful for products like this.<br /><br />I bought this product at my local health food store. It was on sale for $22.99. Amazon is again, by far the best place to buy things. Subscribe and Save is the way to go."
regular,discrim,B00112EUPM,Amazing Grass Green Superfood Organic Powder,median_pt,7.864585,139539,AMRNVZKWF6519,confettissimo,2,5,1,1338508800,Eh...,"I totally don't get this. The nutritional breakdown on this stuff is pitiful - do people click that?  There's more nutrition by far in a handful of Kale, a few nuts and blueberries and seeds. WAY more. Protein is negligible, too. Weird."
regular,discrim,B00112EUPM,Amazing Grass Green Superfood Organic Powder,median_pt,7.864585,139472,A1WX42M589VAMQ,Mir,5,6,5,1257811200,Palatable blend of impressive array of nutrients and antioxidants,"I ordered this with trepidation. I've never been able to swallow green food mixes, other than Green Magma (which is not ""mixed"", but just barley grass). Wheat grass makes me gag. Literally--cannot swallow it. My body rejects it and I gag and spit it out. So, over the years, trying green foods trying to find something I can swallow has been trying.<br /><br />Well, there ya go. This one works.<br /><br />I ordered it on the basis of numerous positive flavor reviews and I liked the list of nutrients/enzymes.<br /><br />30 calories per serving of 8 grams= 1 g fat, 2 g protein, 4 g carbs (2 g fiber), 65% Vit A, 30% of C and K, 15% of B12 and Riboflavin, 6% of iron and manganese; organic grasses (wheat, barley, alfalfa, spirulina, spinach, broccoli, chlorela); with antioxidant from maca, acai, carrot, rose hips, beet, pineapple, green tea, acerola cherry. Fiber from apple pectin, organic oat powder, organic flax seed powder. Also L acidophilus, peppermint, Siberian eleuthero root, and sea salt.<br /><br />The flavor is pleasant. It's like the taste of bitterish dark chocolate bars with a grassy undertone that isn't offputting. It's not like it's a chocolate malted or anything, but it works fine for me. I can drink this. I do not gag. Yay.<br /><br />I will reorder this. I like the healthful profile and the flavor.<br /><br />UPDATE: Okay, I didn't really expect a noticeable effect from this (I mean, I've had superfoods before and didn't suddenly go change the world or anything), but I have actually noticed an uptick in my energy after adding this to my pre-workout smoothie and my pre-chore protein drink. I've been adding it to BSN sytha-6 chocolate protein mix with an extra teaspoon (heaping) of Raw cacao (organic), and it's a nice flavor combo. I think it would be great with a banana, too, for extra potassium (a chocobanana vibe).<br /><br />Maybe it's placebo. Who knows? But as I wasn't thinking I'd notice a change, maybe not. But wow, I do feel an energy surge in the afternoon when I usually have a slump and I get through my 55 minute personal training session with more oomph."
