date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-05-28 11:50:06,RS1140001,114,Senate,1,2015-01-08,,On the Amendment,In the nature of a substitute.,,,,,,,,-0.236,-0.142,0.392,0.266,0.742,0.918,-13.258,0.872
2017-05-28 11:50:06,RS1140002,114,Senate,2,2015-01-08,,On Passage of the Bill,"A bill to extend the termination date of the Terrorism Insurance Program established under the Terrorism Risk Insurance Act of 2002, and for other purposes.",,,,,,,,-0.334,-0.915,-0.117,-0.604,0.0,0.959,-12.749,0.877
2017-05-28 11:50:06,RS1140003,114,Senate,3,2015-01-12,,On Cloture on the Motion to Proceed,A bill to approve the Keystone XL Pipeline.,,,,,,,,-0.194,-0.171,-0.336,-0.459,0.875,0.958,-12.258,0.879
2017-05-28 11:50:06,RS1140004,114,Senate,4,2015-01-20,,On the Motion to Table,To ensure that oil transported through the Keystone XL pipeline into the United States is used to reduce United States dependence on Middle Eastern oil.,,,,,,,,-0.077,-0.122,-0.401,-0.198,0.929,0.97,-5.447,0.946
2017-05-28 11:50:06,RS1140005,114,Senate,5,2015-01-20,,On the Motion to Table,"To require the use of iron, steel, and manufactured goods produced in the United States in the construction of the Keystone XL Pipeline and facilities.",,,,,,,,0.123,-0.088,-0.263,0.195,0.978,0.99,-6.899,0.933
2017-05-28 11:50:06,RS1140006,114,Senate,6,2015-01-20,,On the Amendment,To promote energy efficiency.,,,,,,,,0.766,-0.138,0.398,0.155,0.6,0.98,-6.498,0.936
2017-05-28 11:50:06,RS1140007,114,Senate,7,2015-01-21,,On the Amendment,To conform citizen suits under the Endangered Species Act of 1973.,,,,,,,,0.036,-0.092,-0.459,0.166,1.0,1.0,-0.385,0.996
2017-05-28 11:50:06,RS1140008,114,Senate,8,2015-01-21,,On the Amendment,To ensure that the storage and transportation of petroleum coke is regulated in a manner that ensures the protection of public and ecological health.,,,,,,,,-0.047,-0.116,0.31,0.715,0.878,0.949,-7.395,0.928
2017-05-28 11:50:06,RS1140009,114,Senate,9,2015-01-21,,On the Amendment,"To continue cleaning up fields and streams while protecting neighborhoods, generating affordable energy, and creating jobs.",,,,,,,,0.071,-0.116,-0.248,-0.616,0.889,0.949,-11.391,0.891
2017-05-28 11:50:06,RS1140010,114,Senate,10,2015-01-21,,On the Amendment,To express the sense of the Senate that climate change is real and not a hoax.,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,
2017-05-28 11:50:06,RS1140011,114,Senate,11,2015-01-21,,On the Amendment,To express the sense of Congress regarding climate change.,,,,,,,,0.291,-0.028,0.171,0.806,0.8,0.919,-25.227,0.775
2017-05-28 11:50:06,RS1140012,114,Senate,12,2015-01-21,,On the Amendment,To express the sense of Congress regarding climate change.,,,,,,,,0.218,-0.074,0.338,0.416,0.918,0.96,-8.832,0.915
2017-05-28 11:50:06,RS1140013,114,Senate,13,2015-01-22,,On the Amendment,To express the sense of Congress regarding federally protected land.,,,,,,,,0.199,0.052,0.174,0.47,0.75,0.889,-23.598,0.788
2017-05-28 11:50:06,RS1140014,114,Senate,14,2015-01-22,,On the Amendment,To provide limits on the designation of new federally protected land.,,,,,,,,0.055,-0.101,-0.178,-0.335,0.867,0.939,-19.731,0.819
2017-05-28 11:50:06,RS1140015,114,Senate,15,2015-01-22,,On the Motion to Table,To express the sense of Congress regarding climate change.,,,,,,,,0.119,-0.089,-0.385,-0.163,0.957,0.98,-3.828,0.962
2017-05-28 11:50:06,RS1140016,114,Senate,16,2015-01-22,,On the Motion to Table,To express the sense of Congress regarding climate change.,,,,,,,,-0.082,-0.112,-0.365,-0.028,0.905,0.959,-7.246,0.929
2017-05-28 11:50:06,RS1140017,114,Senate,17,2015-01-22,,On the Amendment,To require a procedure for issuing permits to drill.,,,,,,,,0.101,-0.065,-0.21,-0.422,0.936,0.969,-13.029,0.876
2017-05-28 11:50:06,RS1140018,114,Senate,18,2015-01-22,,On the Amendment,To express the sense of the Senate that all forms of unrefined and unprocessed petroleum should be subject to the nominal per-barrel excise tax associated with the Oil Spill Liability Trust Fund.,,,,,,,,0.513,-0.01,0.242,0.24,0.217,0.816,-31.433,0.726
2017-05-28 11:50:06,RS1140019,114,Senate,19,2015-01-22,,On the Amendment,To amend the Internal Revenue Code of 1986 to clarify that products derived from tar sands are crude oil for purposes of the Federal excise tax on petroleum.,,,,,,,,0.209,-0.064,0.294,0.386,0.915,0.959,-10.319,0.899
2017-05-28 11:50:06,RS1140020,114,Senate,20,2015-01-22,,On the Amendment,"To express the sense of the Senate regarding the conditions for the President entering into bilateral or other international agreements regarding greenhouse gas emissions without proper study of any adverse economic effects, including job losses and harmto the industrial sector, and without the approval of the Senate.",,,,,,,,0.097,-0.097,-0.328,-0.531,0.957,0.979,-4.777,0.952
2017-05-28 11:50:06,RS1140021,114,Senate,21,2015-01-22,,On the Amendment,To ensure private property is protected as guaranteed by the United States Constitution.,,,,,,,,-0.21,-0.177,-0.345,-0.49,0.788,0.928,-14.296,0.863
2017-05-28 11:50:06,RS1140022,114,Senate,22,2015-01-22,,On the Amendment,To ensure private property cannot be seized through condemnation or eminent domain for the private gain of a foreign-owned business entity.,,,,,,,,-0.045,0.013,0.219,0.502,0.907,0.959,-13.581,0.869
2017-05-28 11:50:06,RS1140023,114,Senate,23,2015-01-22,,On the Motion for Attendance,A bill to approve the Keystone XL Pipeline.,,,,,,,,0.457,-0.89,0.103,-0.384,-0.8,0.904,-23.275,0.781
2017-05-28 11:50:06,RS1140024,114,Senate,24,2015-01-22,,On the Motion to Table,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.,,,,,,,,-0.066,-0.113,-0.356,0.047,0.952,0.979,-6.611,0.933
2017-05-28 11:50:06,RS1140025,114,Senate,25,2015-01-22,,On the Motion to Table,To impose a fee of 8 cents per barrel on oil transported through the pipeline.,,,,,,,,-0.116,-0.081,-0.303,0.248,0.868,0.947,-11.919,0.882
2017-05-28 11:50:06,RS1140026,114,Senate,26,2015-01-22,,On the Motion to Table,To require campaign finance disclosures for certain persons benefitting from tar sands development.,,,,,,,,0.037,-0.091,-0.456,0.166,1.0,1.0,-0.389,0.996
2017-05-28 11:50:06,RS1140027,114,Senate,27,2015-01-22,,On the Motion to Table,To strike a provision relating to judicial review.,,,,,,,,-0.046,-0.113,-0.433,-0.267,0.976,0.989,-2.883,0.97
2017-05-28 11:50:06,RS1140028,114,Senate,28,2015-01-22,,On the Motion to Table,"To express the sense of the Senate that the Low-Income Home Energy Assistance Program should be funded at not less than $4,700,000,000 annually.",,,,,,,,0.173,-0.076,-0.391,-0.345,0.978,0.989,-3.381,0.965
2017-05-28 11:50:06,RS1140029,114,Senate,29,2015-01-26,,On the Cloture Motion,In the nature of a substitute.,,,,,,,,-0.024,-0.066,-0.206,-0.276,0.949,0.978,-11.795,0.88
2017-05-28 11:50:06,RS1140030,114,Senate,30,2015-01-26,,On the Cloture Motion,A bill to approve the Keystone XL Pipeline.,,,,,,,,-0.024,-0.066,-0.206,-0.276,0.949,0.978,-11.795,0.88
2017-05-28 11:50:06,RS1140031,114,Senate,31,2015-01-28,,On the Amendment,To provide communities that rely on drinking water from a source that may be affected by a tar sands spill from the Keystone XL pipeline an analysis of the potential risks to public health and the environment from a leak or rupture of the pipeline.,,,,,,,,-0.187,-0.136,0.43,0.282,0.889,0.959,-9.148,0.911
2017-05-28 11:50:06,RS1140032,114,Senate,32,2015-01-28,,On the Amendment,"To require that the Administrator of the Pipeline and Hazardous Materials Safety Administration make a certification and submit to Congress the results of a study before the pipeline may be constructed, connected, operated, or maintained.",,,,,,,,-0.071,-0.096,0.249,0.424,0.825,0.929,-12.914,0.877
2017-05-28 11:50:06,RS1140033,114,Senate,33,2015-01-28,,On the Amendment,"To increase the quantity of solar photovoltaic electricity by providing rebates for the purchase and installation of an additional 10,000,000 photovoltaic systems by 2025.",,,,,,,,-0.111,-0.134,0.435,0.373,0.95,0.98,-5.296,0.947
2017-05-28 11:50:06,RS1140034,114,Senate,34,2015-01-28,,On the Amendment,To promote economic growth and job creation by increasing exports.,,,,,,,,0.045,-0.102,-0.374,-0.35,0.978,0.99,-3.576,0.964
2017-05-28 11:50:06,RS1140035,114,Senate,35,2015-01-28,,On the Amendment,To delist the lesser prairie-chicken as a threatened species under the Endangered Species Act of 1973.,,,,,,,,-0.031,-0.101,-0.452,-0.078,0.977,0.99,-1.835,0.981
2017-05-28 11:50:06,RS1140036,114,Senate,36,2015-01-28,,On the Amendment,To require campaign finance disclosures for certain persons benefitting from tar sands development.,,,,,,,,-0.023,-0.107,0.409,0.103,0.977,0.99,-3.115,0.968
2017-05-28 11:50:06,RS1140037,114,Senate,37,2015-01-28,,On the Amendment,To express the sense of Congress regarding the designation of National Monuments.,,,,,,,,0.108,-0.099,-0.209,-0.208,0.894,0.948,-14.226,0.864
2017-05-28 11:50:06,RS1140038,114,Senate,38,2015-01-28,,On the Amendment,To express the sense of Congress regarding climate change and infrastructure.,,,,,,,,0.162,-0.083,0.395,0.288,0.979,0.99,-3.914,0.961
2017-05-28 11:50:06,RS1140039,114,Senate,39,2015-01-28,,On the Amendment,To release certain wilderness study areas from management for preservation as wilderness.,,,,,,,,0.139,-0.089,-0.231,-0.374,0.896,0.949,-12.235,0.883
2017-05-28 11:50:06,RS1140040,114,Senate,40,2015-01-28,,On the Amendment,To express the sense of Congress that the Internal Revenue Code of 1986 should be amended to extend the credit with respect to facilities producing energy from certain renewable resources.,,,,,,,,0.136,-0.104,0.289,0.465,0.957,0.98,-7.332,0.928
2017-05-28 11:50:06,RS1140041,114,Senate,41,2015-01-28,,On the Amendment,To modify the definition of underground injection.,,,,,,,,-0.172,-0.171,0.305,0.474,0.857,0.949,-13.429,0.872
2017-05-28 11:50:06,RS1140042,114,Senate,42,2015-01-29,,On the Amendment,To express the sense of Congress that reauthorizing the Land and Water Conservation Fund should be a priority.,,,,,,,,0.04,0.084,-0.161,-0.645,0.787,0.898,-24.536,0.779
2017-05-28 11:50:06,RS1140043,114,Senate,43,2015-01-29,,On the Amendment,To permanently reauthorize the Land and Water Conservation Fund.,,,,,,,,0.338,-0.037,0.238,0.385,0.744,0.898,-21.765,0.801
2017-05-28 11:50:06,RS1140044,114,Senate,44,2015-01-29,,On the Amendment,"To establish a renewable electricity standard, and for other purposes.",,,,,,,,0.06,-0.098,0.293,1.03,0.978,0.99,-6.892,0.932
2017-05-28 11:50:06,RS1140045,114,Senate,45,2015-01-29,,On the Cloture Motion,A bill to approve the Keystone XL Pipeline.,,,,,,,,-0.173,-0.157,-0.404,-0.46,0.857,0.948,-9.065,0.911
