"","V1","V2","V3"
"1",0.63928,0.837763,0.830517
"2",0.629543,0.830949,0.834327
"3",0.630791,0.832807,0.835251
"4",0.659953,0.845757,0.840266
"5",0.634338,0.836312,0.832696
"6",0.661808,0.845932,0.845399
"7",0.639606,0.837991,0.835784
"8",0.642113,0.839145,0.836189
"9",0.643036,0.839475,0.835828
"10",0.636442,0.837059,0.835989
"11",0.657589,0.845852,0.840859
"12",0.665007,0.845125,0.847174
"13",0.631211,0.834207,0.834967
"14",0.665053,0.847452,0.846373
"15",0.642586,0.839472,0.839703
"16",0.661656,0.845805,0.840604
"17",0.640946,0.829359,0.839849
"18",0.648994,0.831836,0.841906
"19",0.651279,0.843342,0.83826
"20",0.629906,0.830068,0.834499
"21",0.634803,0.829231,0.837336
"22",0.641854,0.839562,0.83118
"23",0.661009,0.84605,0.839031
"24",0.663771,0.847272,0.841661
"25",0.635709,0.832172,0.83699
"26",0.635499,0.834631,0.83582
"27",0.634889,0.834606,0.836349
"28",0.668581,0.848338,0.844727
"29",0.628838,0.831729,0.833652
"30",0.64836,0.841123,0.834919
"31",0.662514,0.845942,0.845857
"32",0.631054,0.834726,0.834713
"33",0.66774,0.848036,0.844524
"34",0.664779,0.847504,0.847501
"35",0.669646,0.849538,0.842223
"36",0.66519,0.847246,0.844852
"37",0.661927,0.846203,0.843537
"38",0.662318,0.844962,0.845581
"39",0.636169,0.837169,0.837145
"40",0.638612,0.837645,0.837001
"41",0.631036,0.83518,0.835115
"42",0.647309,0.840928,0.833388
"43",0.664985,0.843578,0.846388
"44",0.653832,0.843497,0.834629
"45",0.662593,0.846796,0.845021
"46",0.629039,0.828702,0.834835
"47",0.639566,0.833837,0.83884
"48",0.659469,0.844855,0.84104
"49",0.658582,0.845359,0.840365
"50",0.649184,0.842069,0.838049
"51",0.660428,0.84592,0.842544
"52",0.645655,0.832355,0.840757
"53",0.660121,0.840385,0.845457
"54",0.638026,0.837939,0.832381
"55",0.653063,0.837692,0.843488
"56",0.630407,0.831629,0.834861
"57",0.651294,0.833207,0.842426
"58",0.666707,0.847944,0.843783
"59",0.662441,0.846404,0.844441
"60",0.639826,0.838355,0.831679
"61",0.661713,0.846118,0.8457
"62",0.656958,0.844388,0.842705
"63",0.642362,0.83922,0.835769
"64",0.661047,0.846675,0.840907
"65",0.636792,0.837169,0.835013
"66",0.636691,0.837159,0.827952
"67",0.655414,0.841286,0.843593
"68",0.634481,0.834039,0.836362
"69",0.659106,0.843095,0.844869
"70",0.635122,0.833945,0.83604
"71",0.647981,0.832588,0.841932
"72",0.661196,0.846052,0.843878
"73",0.649156,0.841116,0.83974
"74",0.65866,0.84258,0.844923
"75",0.667045,0.847417,0.846847
"76",0.638346,0.837503,0.835461
"77",0.639328,0.837785,0.838021
"78",0.640879,0.838834,0.838685
"79",0.635536,0.836457,0.834272
"80",0.661128,0.842801,0.845711
"81",0.649438,0.842265,0.834508
"82",0.635499,0.834631,0.83582
"83",0.660344,0.845595,0.845205
"84",0.63823,0.833894,0.837837
"85",0.644653,0.839984,0.827807
"86",0.663486,0.846913,0.844243
"87",0.66381,0.846654,0.84469
"88",0.632953,0.830672,0.835743
"89",0.651494,0.840655,0.842839
"90",0.6336,0.833621,0.83656
"91",0.668009,0.845899,0.847595
"92",0.633394,0.832863,0.835932
"93",0.634065,0.836007,0.836697
"94",0.664408,0.846067,0.847138
"95",0.637795,0.835123,0.837293
"96",0.661825,0.846343,0.844012
"97",0.638166,0.835106,0.837309
"98",0.656075,0.844447,0.844031
"99",0.642373,0.83849,0.829349
"100",0.660227,0.842737,0.845386
"101",0.631309,0.832007,0.834826
"102",0.631068,0.833992,0.835151
"103",0.642724,0.839159,0.834797
"104",0.663351,0.844425,0.846072
"105",0.638967,0.837815,0.834635
"106",0.636256,0.831712,0.837221
"107",0.664245,0.846748,0.845149
"108",0.661502,0.845676,0.841528
"109",0.637679,0.837259,0.83396
"110",0.655456,0.841121,0.843426
"111",0.650851,0.841864,0.842219
"112",0.644405,0.840444,0.829598
"113",0.659086,0.845345,0.844034
"114",0.662441,0.844814,0.845844
"115",0.65928,0.845326,0.840465
"116",0.654801,0.843911,0.843661
"117",0.659011,0.845594,0.843653
"118",0.664274,0.846805,0.844116
"119",0.635621,0.836443,0.834976
"120",0.661015,0.846179,0.839478
"121",0.649993,0.842485,0.838789
"122",0.647025,0.83375,0.841318
"123",0.63073,0.83238,0.834275
"124",0.659804,0.84401,0.84535
"125",0.655875,0.843671,0.842204
"126",0.660432,0.845454,0.844057
"127",0.634553,0.836029,0.836419
"128",0.664058,0.846629,0.846506
"129",0.635156,0.835504,0.836567
"130",0.664375,0.847319,0.84359
"131",0.663911,0.84405,0.84618
"132",0.660812,0.844085,0.845525
"133",0.663422,0.84579,0.846418
"134",0.639417,0.838804,0.838466
"135",0.663116,0.846342,0.843212
"136",0.634663,0.833859,0.836299
"137",0.630989,0.83092,0.834299
"138",0.635345,0.834514,0.837072
"139",0.641997,0.835296,0.83918
"140",0.639303,0.838405,0.832257
"141",0.650925,0.842228,0.833683
"142",0.662922,0.846183,0.844978
"143",0.663187,0.846264,0.843742
"144",0.646792,0.832856,0.84137
"145",0.660517,0.845753,0.844283
"146",0.664492,0.846831,0.843496
"147",0.663764,0.847363,0.842982
"148",0.664089,0.846744,0.843894
"149",0.633812,0.833545,0.835949
"150",0.636852,0.83293,0.836918
"151",0.655747,0.844612,0.837645
"152",0.631628,0.833212,0.835034
"153",0.640059,0.83838,0.830696
"154",0.656274,0.843939,0.844028
"155",0.641886,0.839319,0.829023
"156",0.663356,0.84657,0.844043
"157",0.657233,0.837129,0.843962
"158",0.642295,0.839311,0.830124
"159",0.652857,0.83289,0.843007
"160",0.661871,0.846439,0.844078
"161",0.639851,0.839035,0.830808
"162",0.65863,0.844783,0.843808
"163",0.655348,0.835508,0.843826
"164",0.654934,0.840188,0.844042
"165",0.664329,0.847195,0.843583
"166",0.661219,0.845862,0.845492
"167",0.640029,0.836586,0.838777
"168",0.632415,0.833572,0.835717
"169",0.63086,0.833412,0.834321
"170",0.667171,0.846167,0.847524
"171",0.65425,0.836039,0.843883
"172",0.634241,0.835502,0.835875
"173",0.631516,0.832668,0.834494
"174",0.664176,0.846618,0.843076
"175",0.655396,0.843575,0.843238
"176",0.632054,0.832061,0.83539
"177",0.655975,0.84023,0.843571
"178",0.664642,0.847221,0.84672
"179",0.629246,0.831178,0.834167
"180",0.641219,0.830304,0.839556
"181",0.646094,0.840575,0.832579
"182",0.637087,0.837198,0.835803
"183",0.662416,0.845409,0.846112
"184",0.638666,0.837671,0.835871
"185",0.638665,0.838645,0.831185
"186",0.632445,0.832176,0.836018
"187",0.649122,0.831788,0.841862
"188",0.642062,0.839617,0.82974
"189",0.664892,0.847491,0.847424
"190",0.665556,0.847511,0.845222
