# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = rus
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 13
# data
#   file = cmsx4.20modes.dat
# init = 2 (Default)
# random
#   seed = 2282922535
# output
#   file = cmsx4.20modes.13.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c11,a,c44,sigma,cu.1,cu.2,cu.3,c12,C.1.1,C.2.1,C.3.1,C.4.1,C.5.1,C.6.1,C.1.2,C.2.2,C.3.2,C.4.2,C.5.2,C.6.2,C.1.3,C.2.3,C.3.3,C.4.3,C.5.3,C.6.3,C.1.4,C.2.4,C.3.4,C.4.4,C.5.4,C.6.4,C.1.5,C.2.5,C.3.5,C.4.5,C.5.5,C.6.5,C.1.6,C.2.6,C.3.6,C.4.6,C.5.6,C.6.6,q.1,q.2,q.3,q.4,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20
-32987.3,0.75,0.00195312,2,4,1,77438.3,0.782524,1.29234,0.365663,0.813922,0.0696677,-0.589205,0.0295022,0.216632,0.784448,0.215721,0.21562,-0.000497463,-0.00854518,-0.00911413,0.215721,0.787989,0.212078,0.0190528,-0.000852836,0.00791173,0.21562,0.212078,0.788091,-0.0185553,0.00939801,0.0012024,-0.000497463,0.0190528,-0.0185553,0.361109,0.0012024,-0.000852836,-0.00854518,-0.000852836,0.00939801,0.0012024,0.364651,-0.000497463,-0.00911413,0.00791173,0.0012024,-0.000852836,-0.000497463,0.364752,0.724984,0.0605102,-0.685705,0.0233464,45.5301,50.875,54.6945,67.4051,75.224,80.4768,80.8923,83.3919,83.7977,88.685,88.7902,93.5838,94.072,96.1421,100.462,103.82,106.797,107.946,108.386,110.716
-32987.3,0,9.13101,0,1,1,32988.5,0.782524,1.29234,0.365663,0.813922,0.0696677,-0.589205,0.0295022,0.216632,0.784448,0.215721,0.21562,-0.000497463,-0.00854518,-0.00911413,0.215721,0.787989,0.212078,0.0190528,-0.000852836,0.00791173,0.21562,0.212078,0.788091,-0.0185553,0.00939801,0.0012024,-0.000497463,0.0190528,-0.0185553,0.361109,0.0012024,-0.000852836,-0.00854518,-0.000852836,0.00939801,0.0012024,0.364651,-0.000497463,-0.00911413,0.00791173,0.0012024,-0.000852836,-0.000497463,0.364752,0.724984,0.0605102,-0.685705,0.0233464,46.1135,50.4118,53.8237,68.5134,75.9311,80.343,81.5006,82.0858,84.398,86.7482,88.7249,92.6141,95.5141,96.3833,99.0835,102.541,106.904,106.528,109.019,109.68
-32987.3,0,1.34867,0,1,1,32989.4,0.782524,1.29234,0.365663,0.813922,0.0696677,-0.589205,0.0295022,0.216632,0.784448,0.215721,0.21562,-0.000497463,-0.00854518,-0.00911413,0.215721,0.787989,0.212078,0.0190528,-0.000852836,0.00791173,0.21562,0.212078,0.788091,-0.0185553,0.00939801,0.0012024,-0.000497463,0.0190528,-0.0185553,0.361109,0.0012024,-0.000852836,-0.00854518,-0.000852836,0.00939801,0.0012024,0.364651,-0.000497463,-0.00911413,0.00791173,0.0012024,-0.000852836,-0.000497463,0.364752,0.724984,0.0605102,-0.685705,0.0233464,44.0622,50.2834,54.8995,68.7731,74.8221,80.4261,79.7966,83.5333,84.0243,88.1281,88.2358,94.6884,95.0118,98.1626,100.171,102.717,106.515,108.237,108.025,110.284
-32987.3,0,0.123174,0,1,1,32989.6,0.782524,1.29234,0.365663,0.813922,0.0696677,-0.589205,0.0295022,0.216632,0.784448,0.215721,0.21562,-0.000497463,-0.00854518,-0.00911413,0.215721,0.787989,0.212078,0.0190528,-0.000852836,0.00791173,0.21562,0.212078,0.788091,-0.0185553,0.00939801,0.0012024,-0.000497463,0.0190528,-0.0185553,0.361109,0.0012024,-0.000852836,-0.00854518,-0.000852836,0.00939801,0.0012024,0.364651,-0.000497463,-0.00911413,0.00791173,0.0012024,-0.000852836,-0.000497463,0.364752,0.724984,0.0605102,-0.685705,0.0233464,44.2076,52.1078,53.6444,68.2996,76.4118,80.2451,80.6436,83.2435,83.2541,86.4555,89.3737,94.1998,95.1349,95.3614,100.667,102.714,106.771,106.575,106.436,109.632
-32987.3,0,0.00911882,0,1,1,32992,0.782524,1.29234,0.365663,0.813922,0.0696677,-0.589205,0.0295022,0.216632,0.784448,0.215721,0.21562,-0.000497463,-0.00854518,-0.00911413,0.215721,0.787989,0.212078,0.0190528,-0.000852836,0.00791173,0.21562,0.212078,0.788091,-0.0185553,0.00939801,0.0012024,-0.000497463,0.0190528,-0.0185553,0.361109,0.0012024,-0.000852836,-0.00854518,-0.000852836,0.00939801,0.0012024,0.364651,-0.000497463,-0.00911413,0.00791173,0.0012024,-0.000852836,-0.000497463,0.364752,0.724984,0.0605102,-0.685705,0.0233464,46.6077,50.6438,54.6762,68.3384,75.6768,80.0875,80.0613,83.8806,85.2789,87.9824,90.7826,94.2603,96.0278,97.6383,99.4412,105.147,105.689,106.243,107.723,110.086
-28289.3,1,0.000619224,2,3,0,32912.7,0.789228,1.29121,0.37927,0.853399,0.0693323,-0.589372,0.0305515,0.201762,0.791137,0.200881,0.200733,-0.000497433,-0.00877407,-0.00912961,0.200881,0.79486,0.19701,0.0197782,-0.000848603,0.00789394,0.200733,0.19701,0.795008,-0.0192807,0.00962267,0.00123567,-0.000497433,0.0197782,-0.0192807,0.374519,0.00123567,-0.000848603,-0.00877407,-0.000848603,0.00962267,0.00123567,0.378241,-0.000497433,-0.00912961,0.00789394,0.00123567,-0.000848603,-0.000497433,0.378389,0.724823,0.060074,-0.685886,0.0241573,46.5249,52.0472,54.3634,69.6636,78.3784,83.2171,80.1052,84.8706,84.086,89.6258,89.226,94.973,96.7727,97.9348,100.93,104.081,106.863,108.969,111.033,110.41
-10208.6,1,0.000879555,4,15,0,27979.4,0.85256,1.28267,0.480329,1.14385,0.0715868,-0.589033,0.0305726,0.103609,0.855105,0.102394,0.10228,-0.000657759,-0.0110476,-0.0119207,0.102394,0.859945,0.0974398,0.0250431,-0.00114046,0.0103092,0.10228,0.0974398,0.860059,-0.0243853,0.012188,0.00161153,-0.000657759,0.0250431,-0.0243853,0.474159,0.00161153,-0.00114046,-0.0110476,-0.00114046,0.012188,0.00161153,0.478999,-0.000657759,-0.0119207,0.0103092,0.00161153,-0.00114046,-0.000657759,0.479113,0.725149,0.0621451,-0.685355,0.024189,53.7975,56.4907,59.4952,75.0664,87.7025,91.992,92.9009,91.5713,93.0944,100.082,99.1449,104.295,109.548,109.907,114.047,113.646,112.267,118.518,121.544,122.513
-9460.58,1,0.00140395,1,1,0,10185.7,0.861493,1.28262,0.487977,1.16681,0.0725115,-0.588977,0.0318401,0.100586,0.864074,0.0993696,0.0992219,-0.000670366,-0.0112755,-0.0120392,0.0993696,0.869219,0.0940772,0.0258893,-0.00116089,0.0103604,0.0992219,0.0940772,0.869366,-0.0252189,0.0124364,0.00167873,-0.000670366,0.0258893,-0.0252189,0.481468,0.00167873,-0.00116089,-0.0112755,-0.00116089,0.0124364,0.00167873,0.486613,-0.000670366,-0.0120392,0.0103604,0.00167873,-0.00116089,-0.000670366,0.48676,0.725203,0.0628414,-0.685198,0.0251776,53.7563,58.6939,59.3401,77.6339,87.8089,89.8313,90.7485,90.6283,95.0901,99.2767,98.8976,103.79,110.183,112.409,112.526,115.844,115.954,118.775,120.573,122.634
-1486.51,1,0.00241619,4,15,0,9155.23,1.1213,1.27156,0.664528,1.71918,0.0811642,-0.584204,0.0333477,0.0760821,1.12634,0.0738655,0.0732543,-0.00134261,-0.0185228,-0.0187574,0.0738655,1.1339,0.0656926,0.0374454,-0.00192005,0.0157275,0.0732543,0.0656926,1.13451,-0.0361028,0.0204428,0.00302987,-0.00134261,0.0374454,-0.0361028,0.654139,0.00302987,-0.00192005,-0.0185228,-0.00192005,0.0204428,0.00302987,0.661701,-0.00134261,-0.0187574,0.0157275,0.00302987,-0.00192005,-0.00134261,0.662312,0.729775,0.0706641,-0.679512,0.0264227,60.4387,65.4684,67.8415,87.0883,101.574,106.083,104.761,109.233,108.472,115.55,117.554,118.814,126.683,127.108,134.351,132.473,130.015,138.875,143.398,142.668
-1157.93,1,0.00436448,1,1,0,1461.13,1.16575,1.27068,0.684845,1.7699,0.083371,-0.58244,0.0340718,0.0878261,1.17152,0.0854006,0.0844813,-0.00155403,-0.0204108,-0.0199401,0.0854006,1.1794,0.0765998,0.0394304,-0.00205524,0.0165366,0.0844813,0.0765998,1.18032,-0.0378764,0.022466,0.00340357,-0.00155403,0.0394304,-0.0378764,0.673619,0.00340357,-0.00205524,-0.0204108,-0.00205524,0.022466,0.00340357,0.6815,-0.00155403,-0.0199401,0.0165366,0.00340357,-0.00205524,-0.00155403,0.68242,0.731454,0.0726281,-0.677474,0.027007,64.8904,65.3747,70.1472,93.2212,103.303,108.694,106.129,110.404,111.912,113.017,116.505,123.254,131.654,129.889,132.021,135.471,135.431,141.143,141.504,144.609
