# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = rus
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 14
# data
#   file = ti.dat
# init = 2 (Default)
# random
#   seed = 2282494892
# output
#   file = ti.30modes.14.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c11,a,c44,sigma,c12,C.1.1,C.2.1,C.3.1,C.4.1,C.5.1,C.6.1,C.1.2,C.2.2,C.3.2,C.4.2,C.5.2,C.6.2,C.1.3,C.2.3,C.3.3,C.4.3,C.5.3,C.6.3,C.1.4,C.2.4,C.3.4,C.4.4,C.5.4,C.6.4,C.1.5,C.2.5,C.3.5,C.4.5,C.5.5,C.6.5,C.1.6,C.2.6,C.3.6,C.4.6,C.5.6,C.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30
-1.37964e+06,1,0.000244141,1,1,0,3.49408e+06,4.85872,0.430034,0.699372,0.43949,1.60608,4.85872,1.60608,1.60608,0,0,0,1.60608,4.85872,1.60608,0,0,0,1.60608,1.60608,4.85872,0,0,0,0,0,0,0.699372,0,0,0,0,0,0,0.699372,0,0,0,0,0,0,0.699372,136.55,219.734,229.96,235.891,247.985,259.379,275.747,301.915,338.835,353.4,354.436,371.855,378.038,383.119,410.598,412.258,412.615,422.116,439.311,439.561,448.415,451.389,452.987,455.734,459.219,499.972,502.814,504.739,505.595,505.201
-1.37964e+06,0,14.3855,0,1,1,1.37964e+06,4.85872,0.430034,0.699372,0.43949,1.60608,4.85872,1.60608,1.60608,0,0,0,1.60608,4.85872,1.60608,0,0,0,1.60608,1.60608,4.85872,0,0,0,0,0,0,0.699372,0,0,0,0,0,0,0.699372,0,0,0,0,0,0,0.699372,136.363,219.18,229.321,235.807,247.934,259.389,275.575,301.715,340.17,353.88,353.988,371.758,378.653,384.03,410.832,412.081,413.36,422.76,440.228,438.904,448.552,451.75,452.05,455.864,459.909,499.901,503.432,504.502,505.104,507.087
-1.37964e+06,0,2.43117,0,1,1,1.37964e+06,4.85872,0.430034,0.699372,0.43949,1.60608,4.85872,1.60608,1.60608,0,0,0,1.60608,4.85872,1.60608,0,0,0,1.60608,1.60608,4.85872,0,0,0,0,0,0,0.699372,0,0,0,0,0,0,0.699372,0,0,0,0,0,0,0.699372,137.033,219.359,230.214,235.14,248.574,258.624,274.927,301.826,338.738,354.35,354.736,371.776,378.331,383.631,410.471,412.307,413.12,422.566,438.689,439.31,447.541,451.015,452.446,456.784,459.314,500.178,503.141,505.125,505.158,506.255
-1.37964e+06,0,0.239791,0,1,1,1.37964e+06,4.85872,0.430034,0.699372,0.43949,1.60608,4.85872,1.60608,1.60608,0,0,0,1.60608,4.85872,1.60608,0,0,0,1.60608,1.60608,4.85872,0,0,0,0,0,0,0.699372,0,0,0,0,0,0,0.699372,0,0,0,0,0,0,0.699372,135.479,219.416,231.074,235.418,248.317,259.565,275.484,301.339,338.817,353.2,354.434,371.224,378.803,382.979,410.547,412.763,413.795,422.5,438.599,439.483,448.69,451.275,452.598,455.535,459.09,500.451,502.447,505.415,505.069,506.321
-1.37964e+06,0,0.0186273,0,1,1,1.37964e+06,4.85872,0.430034,0.699372,0.43949,1.60608,4.85872,1.60608,1.60608,0,0,0,1.60608,4.85872,1.60608,0,0,0,1.60608,1.60608,4.85872,0,0,0,0,0,0,0.699372,0,0,0,0,0,0,0.699372,0,0,0,0,0,0,0.699372,136.151,219.76,230.336,235.962,247.406,259.689,275.6,302.159,338.984,353.083,354.313,372.22,378.145,383.8,410.814,412.41,413.79,421.649,439.216,438.638,447.979,451.904,452.707,456.225,458.69,500.566,504.503,505.657,504.495,505.722
-1.37964e+06,0,0.00130482,0,1,1,1.37964e+06,4.85872,0.430034,0.699372,0.43949,1.60608,4.85872,1.60608,1.60608,0,0,0,1.60608,4.85872,1.60608,0,0,0,1.60608,1.60608,4.85872,0,0,0,0,0,0,0.699372,0,0,0,0,0,0,0.699372,0,0,0,0,0,0,0.699372,135.765,220.281,230.552,235.592,247.687,259.411,275.568,302.333,338.569,352.929,354.439,371.015,378.223,382.994,410.62,413.228,413.685,421.942,438.938,439.404,448.946,451.638,451.996,456.026,459.432,500.788,503.518,504.09,505.067,505.983
-1.06745e+06,1,8.85015e-05,2,3,0,1.3725e+06,4.83264,0.437767,0.661024,0.458099,1.81266,4.83264,1.81266,1.81266,0,0,0,1.81266,4.83264,1.81266,0,0,0,1.81266,1.81266,4.83264,0,0,0,0,0,0,0.661024,0,0,0,0,0,0,0.661024,0,0,0,0,0,0,0.661024,132.694,212.263,223.726,228.851,240.89,252.164,267.071,292.975,330.288,342.742,345.624,361.58,368.263,373.47,399.01,400.952,401.157,408.887,424.924,427.284,437.012,439.655,439.833,443.173,445.737,486.735,488.6,489.092,491.381,490.4
-935791,1,0.000135987,1,1,0,1.06102e+06,4.82218,0.441906,0.642683,0.467261,1.91349,4.82218,1.91349,1.91349,0,0,0,1.91349,4.82218,1.91349,0,0,0,1.91349,1.91349,4.82218,0,0,0,0,0,0,0.642683,0,0,0,0,0,0,0.642683,0,0,0,0,0,0,0.642683,130.866,210.295,221.406,225.076,237.81,247.323,263.544,290.478,325.406,335.88,339.91,356.938,362.458,367.115,393.928,393.727,396.618,404.821,417.689,421.706,431.195,433.286,432.79,437.521,440.33,479.902,480.023,481.52,483.174,484.88
-228601,1,0.000228818,2,3,0,881225,4.73884,0.482305,0.495778,0.552218,2.68297,4.73884,2.68297,2.68297,0,0,0,2.68297,4.73884,2.68297,0,0,0,2.68297,2.68297,4.73884,0,0,0,0,0,0,0.495778,0,0,0,0,0,0,0.495778,0,0,0,0,0,0,0.495778,115.055,183.382,192.675,198.598,208.965,217.445,230.995,253.594,285.263,285.881,297.127,313.521,316.377,318.491,339.586,343.589,348.44,354.76,354.965,366.304,379.497,381.149,380.869,383.224,384.951,405.016,417.304,418.975,420.224,419.942
-14979,1,0.000408639,5,31,0,207208,4.6891,0.543429,0.369073,0.62132,3.33079,4.6891,3.33079,3.33079,0,0,0,3.33079,4.6891,3.33079,0,0,0,3.33079,3.33079,4.6891,0,0,0,0,0,0,0.369073,0,0,0,0,0,0,0.369073,0,0,0,0,0,0,0.369073,98.6009,154.702,163.261,171.196,179.57,186.827,198.884,219.031,232.804,242.06,252.532,267.695,270.789,270.144,285.261,290.693,293.583,298.946,304.753,310.136,324.837,326.725,326.687,326.516,329.289,329.678,342.501,351.594,356.5,357.309
