Mag,Hora Local,Latitud,Longitud,Prof,Region,Status,Ciudad mas cercana,Hora UTC,Last Update
,,,,(km),,,,,
3.7,16/07/2016 7:58,0.38ø N,80.43ø W,2,Near Coast of Ecuador,M,"52.40km Muisne,Esmeraldas",16/07/2016 12:58,16/07/2016 13:04
3.6,15/07/2016 15:50,0.62ø N,79.88ø W,9,Near Coast of Ecuador,M,"15.80km Muisne,Esmeraldas",15/07/2016 20:50,15/07/2016 20:57
4.6,15/07/2016 7:33,1.02ø S,82.38ø W,10,Off Coast of Ecuador,M,"184.56km Puerto Lopez,Manabi",15/07/2016 12:33,16/07/2016 0:06
4.5,15/07/2016 6:17,0.34ø N,80.25ø W,10,Near Coast of Ecuador,M,"37.22km Pedernales,Manabi",15/07/2016 11:17,15/07/2016 11:28
4.5,15/07/2016 2:32,0.64ø S,81.19ø W,10,Off Coast of Ecuador,M,"64.90km Manta,Manabi",15/07/2016 7:32,15/07/2016 7:39
4,14/07/2016 13:11,0.97ø S,80.62ø W,4,Near Coast of Ecuador,M,"2.48km Jaramijo,Manabi",14/07/2016 18:11,14/07/2016 18:16
4.7,14/07/2016 11:37,1.23ø N,80.04ø W,10,Off Coast of Ecuador,M,"45.57km Atacames,Esmeraldas",14/07/2016 16:37,14/07/2016 16:48
3.6,14/07/2016 3:43,0.56ø S,81.27ø W,10,Off Coast of Ecuador,M,"77.43km Manta,Manabi",14/07/2016 8:43,14/07/2016 8:53
4.2,14/07/2016 3:40,0.65ø S,80.95ø W,10,Near Coast of Ecuador,M,"44.25km Manta,Manabi",14/07/2016 8:40,14/07/2016 8:57
3.8,13/07/2016 12:54,0.94ø N,79.55ø W,5,Near Coast of Ecuador,M,"12.16km Esmeraldas,Esmeraldas",13/07/2016 17:54,13/07/2016 18:00
3.3,13/07/2016 7:07,0.92ø N,79.52ø W,5,Near Coast of Ecuador,M,"15.37km Esmeraldas,Esmeraldas",13/07/2016 12:07,13/07/2016 12:30
3.5,13/07/2016 0:32,0.95ø N,79.59ø W,10,Near Coast of Ecuador,M,"7.29km Esmeraldas,Esmeraldas",13/07/2016 5:32,13/07/2016 5:38
3.4,12/07/2016 14:04,0.92ø N,79.53ø W,5,Near Coast of Ecuador,M,"14.63km Esmeraldas,Esmeraldas",12/07/2016 19:04,12/07/2016 19:11
3.7,12/07/2016 13:54,0.97ø N,79.53ø W,2,Near Coast of Ecuador,M,"13.73km Esmeraldas,Esmeraldas",12/07/2016 18:54,12/07/2016 18:59
4,12/07/2016 13:35,0.97ø N,79.55ø W,5,Near Coast of Ecuador,M,"11.64km Esmeraldas,Esmeraldas",12/07/2016 18:35,12/07/2016 18:46
4.4,12/07/2016 13:32,0.95ø N,79.53ø W,2,Near Coast of Ecuador,M,"13.83km Esmeraldas,Esmeraldas",12/07/2016 18:32,12/07/2016 18:44
4.3,11/07/2016 2:40,0.70ø N,79.70ø W,6,Near Coast of Ecuador,M,"24.95km Atacames,Esmeraldas",11/07/2016 7:40,11/07/2016 7:50
3.3,10/07/2016 21:57,0.62ø N,79.89ø W,6,Near Coast of Ecuador,M,"14.32km Muisne,Esmeraldas",11/07/2016 2:57,11/07/2016 3:03
3.2,10/07/2016 21:42,0.60ø N,79.79ø W,18,Near Coast of Ecuador,M,"26.18km Muisne,Esmeraldas",11/07/2016 2:42,11/07/2016 4:39
6.2,10/07/2016 21:11,0.59ø N,79.77ø W,10,Near Coast of Ecuador,M,"28.07km Muisne,Esmeraldas",11/07/2016 2:11,11/07/2016 3:40
5.9,10/07/2016 21:01,0.60ø N,79.88ø W,8,Near Coast of Ecuador,M,"15.22km Muisne,Esmeraldas",11/07/2016 2:01,11/07/2016 2:25
